tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19719922,42,36.0,--517017--,2016-06-16T22:20:53+00:00,1,23,"#36 Tiene de relevante que en las repúblicas islámicas se aplica generalmente la Sharia y suele tener el mismo rango que la ley civil. Dentro de la Sharia están las ofensas sexuales y se incluye dentro de dichas ofensas el sexo con personas del mismo sexo. Y si queremos irnos a un plano más general y hablamos de países islámicos en general (una cosa es una república islámica, otra un estado islámico, otra un estado laico con mayoría musulmana), incluso en aquellos en los que no aplican la Sharia como tal e incluso en aquellos que hasta la consideran inconstitucional y la prohiben (como Siria) suelen perseguir a los homosexuales.

Por ejemplo, la confederación española LGTB COLEGAS hizo una lista de 22 países homófobos que recomiendan no visitar por el especial odio y discriminación (incluyendo legislación al respecto) hacia ese colectivo. Los países son: Afganistán, Arabia Saudí, Brunéi, Egipto, Emiratos Árabes Unidos, Gambia, Ghana, Jordania, India, Irán, Mauritania, Nigeria, Pakistán, Rusia, Senegal, Siria, Somalia, Sudán y Sudán del Sur, Uganda, Yemen y Zimbabwe.
http://www.colegaweb.org/vayas-alli-los-peores-22-destinos-para-el-turismo-lgbt/

De esos 22, 15 son o bien estados definidos islámicos, o on el Islam como religión oficial o con clara mayoría musulmana, mientras que Ghana, Nigeria (donde, a pesar de todo, más del 50% de la población es musulmana y es un país que ha tenido gran influencia islámica), India, Sudán del Sur (que había formado parte del Sudán anglo-egipcio que incluía el norte musulmán, que era el que predominaba, por lo que tuvo gran influencia del mismo), Uganda, Zimbabue y Rusia son países con predominancia de otras religiones o sin mayoría clara musulmana (como en el caso de Nigeria).

Cierto es que la irracionalidad y la estupidez no entienden de religiones ni fronteras (ahí está el caso de Rusia o Uganda, o la misma España hace un tiempo) pero está claro que actualmente la estupidez se concentra en unos sitios más que en otros, por mucho que sea susceptible de aparecer en cualquier lado. Si siempre nos negásemos a ver dónde se da en mayor medida un problema determinado y simplemente mantuviésemos la equidistancia para todo porque nos resulta más cómodo, hoy en día seguiríamos teniendo la Inquisición vivita y coleando.

cc/ #2"
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19719436,41,38.0,neotobarra2,2016-06-16T20:57:37+00:00,3,23,#38 Tú lo que eres es mu tonto. Pero mucho. Y no hace falta decir más.
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19719412,40,30.0,--515937--,2016-06-16T20:51:26+00:00,0,7,"#30 ¿Es que los homosexuales no hacen más que meterse cosas por el culo? ¿La gente no homosexual no practica sexo anal?

A ver si el homófobo va a ser otro..."
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19718905,39,38.0,niel,2016-06-16T19:16:37+00:00,0,9,"#38 Marxista de Groucho y Leninista de leonanina , tontería dialéctica."
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19717587,38,37.0,turmix77,2016-06-16T15:56:59+00:00,3,0,"#37 Uy,, otro que ve la Sexta y se cree super alternativo de izquierdas. Yo soy marxista leninista, y como tal creo que las religiones son algo con lo que deberíamos acabar. Yo sometería a los integristas como hizo la URSS en Afganistán. Eso me diferencia de los progres de batucada y tontería dilaléctica flowerpower como tú.

Un abrazo."
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19717521,37,13.0,neotobarra2,2016-06-16T15:49:31+00:00,4,32,"#13 Seguro. Al fin y al cabo, vosotros los fachuzos no tenéis problema en inventaros que un artículo culpa a Occidente de los atentados cometidos contra Occidente, incluso si dicho artículo no dice nada de eso en absoluto. Ejemplo:

https://www.meneame.net/story/discriminacion-alto-desempleo-pobreza-motivos-atentados-bruselas Increíble cómo cogéis un artículo de prensa, no lo leéis, os inventáis lo que dice en los comentarios del Menéame y os ponéis a soltar la consigna y a chuparos las pollas los unos a los otros ¡Anda, qué casualidad! ¡Pero si tú también sales!

https://www.meneame.net/c/19114873"
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19717494,36,2.0,neotobarra2,2016-06-16T15:45:38+00:00,2,34,"#2 Lo de que sea una república islámica no sé hasta qué punto es relevante, en Uganda hay mayoría cristiana y también se persigue la homosexualidad incluso con pena de muerte:

https://es.wikipedia.org/wiki/Homosexualidad_en_Uganda
https://es.wikipedia.org/wiki/Religi%C3%B3n_en_Uganda

La irracionalidad y la estupidez no entienden de religiones ni de fronteras.

cc #8"
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19717341,35,34.0,turmix77,2016-06-16T15:24:58+00:00,0,10,"#34 Si, el problema de fondo son las religiones que ostentan poder, por supuesto. Pero mira el mapa que he puesto en #27  y dime quienes son más salvajes. 
Que Cañizares sea un retrasado no le quita responsabilidad a los millones de musulmanes que conforman estados por todo el mundo en los que la homosexualidad es castigada con pena de cárcel o con la muerte."
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19717000,34,8.0,--448708--,2016-06-16T14:46:18+00:00,2,30,"#8 El problema no es la religión de este tipo, el problema es la religión, a secas
http://www.abc.es/internacional/abci-vicegobernador-texas-tras-ataque-orlando-recoges-siembras-201606131001_noticia.html"
lgtbi,https://www.meneame.net/story/dictador-orgulloso-promete-rajar-cuello-gays,2630643,19716374,33,,--80628--,2016-06-16T13:33:58+00:00,0,8,Este tiene pinta de ser de los que luego le gusta morder almohadas.
