tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17754069,189,127.0,landaburu,2015-09-22T07:20:16+00:00,0,10,"#127 hola , perdona que no te respondí. He buscado muchos de los vídeos que en su día me sirvieron para denunciar la visión edulcorada y manipulada de los mass-mierda, pero la mayoría son de cuentas cerradas o bloqueadas. En todo caso te dejo el envío que hice en su día. También me imagino que por ahí andarán.

https://www.meneame.net/story/rebeldes-disparan-contra-manifestantes-favor-gadafi-desarmados
https://www.meneame.net/story/freedom-fighters-sirios-accion-video

Este otro envío que hice me duele, tuvo más de 2.000 meneos. Pero conté la versión OTANERA, en realidad son unos 200 reclutas maniatados y ejecutados en un cuartel justo al empezar el ""alzamiento"". La propaganda decía que eran ""soldados que se negaban a luchar por gadafi"". La realidad es que los cuarteles masacrados fueron muchos, de la noche a la mañana, en lo que fue un golpe de estado con apagón informativo incluído.

https://www.meneame.net/story/soldados-libaneses-ejecutados-grupo-negarse-disparar-contra"
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17725388,188,187.0,DORAP,2015-09-17T10:28:35+00:00,2,25,"#187 ¿Pero qué es la ""prensa occidental""? ¿Para tí es lo mismo eldiario.es que El País? ¿El Financial Times que The Guardian? ¿Le Monde que Le Figaro? ¿New York Times que New York Post? ¿The Atlantic que Huffington Post? ¿Público que Libertad Digital? Lo que vosotros llamáis ""prensa occidental"" y calificáis como un bloque homogéneo de propaganda neoconservadora sencillamente no existe. Lo que existe es una amalgama de medios de comunicación con líneas editoriales muy distintas.

En cambio, lo que llamáis prensa independiente (imaginando que te refieres a cosas como RT, Al Jazeera, HispanTV y demás) son medios de comunicación fundados y financiados por gobiernos más o menos totalitarios, que se dedican a informar de las vergüenzas de los enemigos de su país mientras tapan las suyas propias. Mientras que la ""prensa occidental"" que denostáis, se dedica a destapar vergüenzas sin importar a quién afecte. Sin ir más lejos, una lista corta de grandes escándalos con EEUU involucrado que han sido destapados por la prensa americana:

Masacre de May Lai en Vietnam: Los Ángeles Times
Papeles del pentágono (el wikileaks de Vietnam): New York Times
Caso Watergate: Washington Post
Torturas de Abu Gharib: New Yorker y CBS
Y luego están todas las filtraciones de Snowden o Wikileaks, que no son fruto de la investigación de medios de comunicación occidentales... pero las llevaron a portada.

Sólo hace falta ir a wikipedia y mirar los medios de comunicación que investigaron un tema tan escandaloso, secreto y peligroso para EEUU (por tanto, digno de haberse censurado si la ""prensa occidental"" trabajara para la conspiración neoliberal mundial) como el tema de las cárceles secretas de la CIA. El listado, incluye la BBC, el Washington Post o el New Yorker.  (https://es.wikipedia.org/wiki/Centros_clandestinos_de_detenci%C3%B3n_de_la_CIA#Medios_de_comunicaci.C3.B3n_e_investigaciones)

Fíjate cómo de controlada por los gobiernos occidentales está la ""prensa occidental"" que hasta tienen que intervenirlos judicialmente para saber qué coño están tramando: https://en.wikipedia.org/wiki/2013_Department_of_Justice_investigations_of_reporters

Y ahora... ¿Alguna gran exclusiva que afecte al gobierno ruso destapada por RT últimamente? ¿Algo sobre la participación rusa en la guerra de Ucrania?"
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17724889,187,120.0,enrii.bc,2015-09-17T09:27:33+00:00,0,6,#120 porque es la unica prensa que aceptan los Neocons. No podemos discutirles con articulos o periodicos independientementes porque no nos lo aceptan y nos lo Tildan de propaganda.
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17724868,186,17.0,enrii.bc,2015-09-17T09:24:52+00:00,1,21,#17 le has dado bien Chinasky
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17722193,185,26.0,Tonyo,2015-09-16T20:03:29+00:00,0,9,"#26 estoy en gran parte de acuerdo con el análisis, y ya lo había comentado cuando la opinión era minoritaria https://www.meneame.net/story/quien-entiende-politica-occidental-siria
Sin embargo, ojo, porque hay un importante error: Lawrence apoyó a los hachemitas. Los Saud llegaron después y no eran la primera opción de los británicos"
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721875,184,183.0,--234048--,2015-09-16T19:15:18+00:00,1,7,"#183 Ah .. entonces es una ONG... armada por Iran.

Cojonudo. Tú sabrás que bolas te crees."
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721832,183,182.0,cerrad_el_pico,2015-09-16T19:10:18+00:00,1,12,#182 Si está catalogada como organización terrorista es porque su existencia no le interesa a EE.UU. No me he caído de un guindo.
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721760,182,181.0,--234048--,2015-09-16T18:57:52+00:00,0,13,"#181 Es evidente que o no sabes de lo que estamos hablando o te haces el tonto.

Insisto... Si está catalogada como organización terrorista no es porque sea una ONG."
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721706,181,180.0,cerrad_el_pico,2015-09-16T18:48:02+00:00,0,6,"#180 Ha puesto bombas, secuestrado y usado terroristas suicidas. ¿Algún ejemplo?"
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721657,180,179.0,--234048--,2015-09-16T18:39:27+00:00,0,13,"#179 ¿QUE?

JA JA JA JA JA

Se nota que sabes de lo que hablas.

Ha puesto bombas, secuestrado y usado terroristas suicidas. En 2005 se cargaron al primer ministro libanés... Y sigue recibiendo armas y equipo de Irán vía Siria.

Por eso está en la lista de organizaciones terroristas de la UE y EEUU... porque SON terroristas."
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721622,179,135.0,cerrad_el_pico,2015-09-16T18:33:02+00:00,0,6,"#135 Hezbolá nunca a puesto bombas, al contrario, se las han puesto a ellos. Menudo lavado de cerebro llevas."
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17721083,178,,--489401--,2015-09-16T17:09:12+00:00,0,9,Junts pel ISIS 3%:
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17720998,177,174.0,cybermouse,2015-09-16T16:55:38+00:00,0,8,"#174 ""Ir contra la estabilidad del sistema o a favor de la estabilidad."" Valiente irresponsabilidad, estas aventuras se sabe como empiezan pero nunca. como acaban"
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17720992,176,165.0,xpell,2015-09-16T16:54:51+00:00,1,21,"#165 No le atribuyo directamente la caída. Pero que fue un puntillazo malo, malo, igual que lo fue el accidente de Chernóbil, eso está fuera de toda duda."
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17720955,175,130.0,Veelicus,2015-09-16T16:50:33+00:00,0,8,"#130 Eso es lo que digo que lo tienen que decidir los sirios, pero para ello primero hay que eliminar al ISIS y Al Asad y permitirles celebrar unas elecciones libres, sin embargo eso es costosisimo y no se va a llevar a cabo."
inmigracion,https://www.meneame.net/story/assad-sobre-crisis-refugiados-europa-dejad-apoyar-terroristas,2478482,17720900,174,172.0,capitan__nemo,2015-09-16T16:45:23+00:00,0,14,"#172 Vivian bastante bien algunos o en algunas zonas mas urbanas. Es lo que pasa con el tema de las desigualdades.
 https://www.meneame.net/story/modelos-matematicos-como-indicadores-riesgo-estalle-guerra-joan
 https://www.meneame.net/story/ted-como-desigualdad-economica-dana-sociedades 


Por ejemplo algunos dicen que la subida del precio de los alimentos fue determinante en las protestas masivas (que después al ser reprimidas de forma tan brutal sirvieron de coartada para que se lanzasen a la guerra). Y la subida del precio de los alimentos afecta principalmente a los mas pobres.
 https://www.meneame.net/c/17688096
 Por ejemplo en el tema energetico lo de Yemen parece que estaba cantado según algunos modelos que le daban mucha importancia al tema energético.
 https://www.meneame.net/c/16573929
 http://crashoil.blogspot.com.es/2011/01/revueltas-del-hambre-antesala-del-caos.html
Esos modelos no sé que previsiones tendrían para Siria (me suena que en uno de esos artículos de crashoil hacían un analisis o un perfil de cada uno de los paises con petroleo)

Después si una ficha está a punto de caer y entonces se aplica todo el oportunismo posible para asegurarse de que caiga sin tener en cuenta las consecuencias y posibles derivaciones (por ejemplo Montoro que decia ""dejad que España caiga, que ya la levantaremos nosotros). O los que las tienen en cuenta están en sus bunkeres o bien lejos de las consecuencias y no les dan la misma importancia que le darian todos los refugiados que tuvieron que huir.
Ir contra la estabilidad del sistema o a favor de la estabilidad.
Este hombre de esta noticia, Jesus Nuñez, experto en el tema, hablaba tambien en un especial sobre el tema en la noche en 24 horas el otro dia, de que Europa y occidente habían buscado la estabilidad a corto plazo.
 https://www.meneame.net/story/instituto-estudios-sobre-conflictos-culpa-europa-sostener 

Por ejemplo algo parecido aunque remoto a la primavera arabe en esos paises en España fueron todo lo del 15M y estas fueron desencadenadas por las medidas de ajuste del gobierno provocadas por los mercados e impuestas por europa a cambio de los rescates, paro muy muy alto y subiendo, deshaucios en masa, bajada de sueldos a todo el mundo (devaluación interna pero en cambio a algunos como las electricas no las devaluaban y la electricidad y sus beneficios subian)."
