tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27541593,40,,chochete,2019-08-05T07:32:32+00:00,0,6,en un puerto italiano al pie de la montaña
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27539015,39,38.0,--542291--,2019-08-04T16:53:56+00:00,1,23,#38 No emigran. Se les recoge en origen y se les traslada tras una llamada de los tratantes. Pareces nuevo.
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538964,38,37.0,--189197--,2019-08-04T16:44:21+00:00,1,18,"#37 La incoherencia la tienes tu cuando no quieres que unos emigren donde creen que les irá mejor, pero tu sí puedes hacerlo. Tu sí y otros no. 


Como me ha dicho @JavierB ,""deberías ser mas solidario con los que tienen menos que tú ""."
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538901,37,36.0,--542291--,2019-08-04T16:33:51+00:00,0,9,"#36 Chico, eras tú el que considera que no pueden ir a Marruecos porque de ahí se emigra, de España también, pero eso no te resulta un problema para conceder ciudadanías. o sé, noto un pequeño problema de coherencia."
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538890,36,31.0,--189197--,2019-08-04T16:31:52+00:00,1,18,"#31 Se puede vivir en Marruecos sin ser musulmán. 


Los españoles emigran,  ¿qué te parecería que los trataran como vosotros a  esos?  


sois inhumanos"
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538784,35,34.0,ﻞαʋιҽɾαẞ,2019-08-04T16:14:39+00:00,0,13,"#34 No puedo adivinar el futuro, pero te prometo que dejaré los catachistes en cuanto Cataluña sea independiente."
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538778,34,33.0,--490115--,2019-08-04T16:13:27+00:00,0,9,"#33 Lo dudo, dentro de 18 meses seguirás con los chistes {lol} {confused}"
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538767,33,32.0,ﻞαʋιҽɾαẞ,2019-08-04T16:11:33+00:00,0,13,"#32 Ya me lo han mirado, el catalinólogo ha dicho que se me pasaré en 18 meses."
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538749,32,30.0,--490115--,2019-08-04T16:09:22+00:00,0,9,#30 Tienes una enfermiza obsesión con los catalanes. Háztelo mirar.
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538706,31,29.0,--542291--,2019-08-04T16:03:16+00:00,0,9,"#29 Tan diga que los marroquíes se largan... ¿por qué no vas tu? También se largan de España los españoles. {hug} 

Yo no voy porque no soy musulmán y no me apetece nada."
inmigracion,https://www.meneame.net/story/open-arms-pide-urgentemente-puerto-seguro-llevar-121-inmigrantes,3165396,27538682,30,29.0,ﻞαʋιҽɾαẞ,2019-08-04T16:00:23+00:00,1,12,"#29 De gorditos nada, que están esperando que los catalanes los adoptéis."
