tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38140415,11,2.0,DangiAll,2023-04-05T18:12:27+00:00,2,27,"#2 Se tiene que respetar el sentir de cada uno y la transición de cada uno, pero respetar su sentimiento no implica aceptarles en las competiciones deportivas de su nueva identidad porque si se acepta en 4 dias nos cargamos la separación por sexo que hay en los deportes por motivos biológicos.

Durante la adolescencia los XY de la especie humana empiezan a producir en masa una hormona llamada testosterona, esa hormona es una de las principales causas de una mayor densidad ósea y muscular lo que le otorga una superioridad física frente a los XX.

Aun tras un proceso hormonal durante la edad adulta, los XY mantienen una densidad ósea y muscular superior que los XX solo podrían acortar a base de tomar testosterona, cosa que ya pasa en algunas competiciones."
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139851,10,,Robus,2023-04-05T16:29:09+00:00,2,31,"Competiciones para personas XX diferenciadas de la XY, se sientan hombres, mujeres, rododendros o unicornios multicolor."
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139667,9,,ChanzaEtChascarrillo,2023-04-05T15:55:53+00:00,2,17,Menos llorar y mas pedalear
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139601,8,2.0,--752172--,2023-04-05T15:43:07+00:00,2,31,"#2 no hay ningún consenso... cada federación está estableciendo criterios por su cuenta. Hasta ahora algunas, como la IAFF se han basado en niveles de testosterona, pero claro... esto resulta discriminatorio para mujeres de nacimiento con niveles de testosterona inusualmente elevado (con DSD, diferencias de desarrollo sexual). Así que han establecido límites de testosterona diferentes para transgénero, y para mujeres de nacimiento... Aún así los valores son bajos para  mujeres con DSD, que se deben medicar para competir, por lo que algunos dicen que estos niveles son arbitrarios, y la supuesta ventaja obtenida por los niveles altos de testosterona está basada en evidencia incompleta... 
No es un tema fácil..."
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139591,7,6.0,--59837--,2023-04-05T15:41:57+00:00,3,37,"#6 vale, analicemos pues lo que significa la palabra género. ""Conjunto de personas o cosas que tienen características generales comunes."" Pregunto. ¿Qué características tiene un hombre que se autoperciba mujer en común con el resto de las mujeres? ¿No serán sus características generales comunes directamente asimilables a las de los hombres?"
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139558,6,5.0,Enésimo_strike,2023-04-05T15:38:28+00:00,1,25,"#5 objetiva lo que marca la biología, yo soy del sexo masculino, da igual como me sienta que jamas podré gestar. 

En cambio me podría sentir mujer y ese sería mi género, y es algo subjetivo, algo que siento yo y que creo que hay que respetar."
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139539,5,4.0,--59837--,2023-04-05T15:35:47+00:00,1,24,"#4 pues ya ves que no hace falta llegar a eso, sólo decir que uno se siente mujer.

Pero hondando en tu idea.  ¿Cuál sería la objetiva y cuál la subjetiva y por qué motivo?"
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139504,4,3.0,Enésimo_strike,2023-04-05T15:32:12+00:00,3,48,"#3 yo no creo eso. Creo que si se puede distinguir el sexo del género, una cosa es objetiva y la otra es subjetiva. Como decía el humorista americano aquel ; “lo trans no es ninguna broma, si están dispuestos a cortarse el pene esa gente va en serio”"
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139453,3,2.0,--59837--,2023-04-05T15:25:56+00:00,4,52,"#2 es que todo eso es un invent progre. La razón es que ahora quieren distinguir el sexo del género, cuando son exactamente lo mismo. Pero creen que eso de alguna forma explica que el sexo sea una autopercepción."
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139404,2,,Enésimo_strike,2023-04-05T15:19:47+00:00,1,25,"Siempre he tenido la duda de que punto objetivo se puede definir para distinguir a una persona transgenero a una transexual. He visto bastantes vídeos de personas hablando de su transición, todas con hormonas, algunas operadas y otras no, por lo que entiendo que hay procesos y que cada uno se siente “transicionado” habiendo alcanzado un grado u otro de cambio físico. 

¿Hay algún consenso sobre esto?"
lgtbi,https://www.meneame.net/story/hannah-arensman-ciclista-profesional-retiro-tras-perder-podio,3799321,38139300,1,,--59837--,2023-04-05T15:06:08+00:00,4,44,"Mientras las mujeres deportistas se frustran, los hombres biológicos trans deportistas se sienten ""superheroínas"": https://www.marca.com/ciclismo/2023/03/31/64266233ca4741f7358b4583.html"
