tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18782745,58,,mtrazid,2016-02-06T21:56:41+00:00,0,8,Y algunos se siguen preguntando que porqué se hace eso del Orgullo Gay... {undecided}
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18781028,57,,Mister_Lala,2016-02-06T17:05:57+00:00,0,14,"A mí es que esto de que le den medallitas a alguien por hacer algo que se supone que es su trabajo y que le va en el sueldo, me parece hasta inmoral."
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18779401,56,41.0,--501839--,2016-02-06T12:55:55+00:00,0,6,"#41 No tiene ningún sentido que en el siglo XXI un cuerpo policial tenga naturaleza militar ni que un mismo Estado tenga varios cuerpos policiales independientes y que incluso compiten entre sí. La GC debería ser suprimida y su personal e instalaciones integrados en el CNP. La casas cuartel se podrían reconvertir en comisarías residenciales y ya está. 

No hay que olvidar que hay mucha gente dentro que quiere modernización, no creo que la supresión de la GC encontrara mucha resistencia."
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778972,55,1.0,ewok,2016-02-06T12:08:45+00:00,1,25,"#1 Hay miles de Fraga en Galicia, es el 51º apellido más frecuente.
 http://ilg.usc.es/cag/Controlador?busca=fraga
Una fraga en gallego es un bosque mixto, de varias especies.

Por otro lado, medio siglo después de la muerte de Alan Turing parece que no se haya avanzado nada. Una pena."
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778971,54,45.0,--224275--,2016-02-06T12:08:41+00:00,1,10,#45 Aquí quien habla de prohibir no soy yo. ¿?
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778927,53,22.0,Battlestar,2016-02-06T12:03:41+00:00,1,-4,"#22 Yo no juzgo porque no se como funciona el otorgamiento de condecoraciones e igual el que se la otorguen al general es un hecho mas que justificable que razobable.

Si ha sufrido acoso homófono, que se investigue y se sancione, por descontado. Ahora que no sirva de cheque en blanco como dices para ""librarse de todo"" y que se atribuya todo lo que le pase a la homofobia, al menos no sin comprobar primero si es verdad o no que el proceso de la condecoración haya sido correcto."
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778744,52,1.0,Zorlek,2016-02-06T11:36:54+00:00,0,6,"#1 No es por nada, pero hay una ciudad en la provincia de Huesca que se llama Fraga, y no por el político."
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778636,51,,--199729--,2016-02-06T11:24:56+00:00,1,7,Si esta persona se ha intentado suicidar de un disparo y no lo ha conseguido. Además de imbécil es inútil. Y no tiene nada que ver con que sea lesbiana.
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778614,50,35.0,--199729--,2016-02-06T11:22:10+00:00,0,8,#35 Dudo mucho que alguien que se suicida pueda ser considerado un mártir.
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778591,49,43.0,--199729--,2016-02-06T11:19:54+00:00,0,8,#43 pues ella forma parte de ese ejército. ¿Qué tiene que ver lo que dices con la noticia?
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778387,48,,B3nd3r,2016-02-06T10:51:43+00:00,0,6,Putos fachas...
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778278,47,2.0,--143520--,2016-02-06T10:39:19+00:00,2,-6,"#2 De su apellido, no de ella, y sinceramente lo más probable es que le de igual si alguien en internet se ríe de su apellido (y encima tiene razones para ello).

A veces el policorrectismo tampoco nos deja ver cosas importantes..."
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778189,46,10.0,Grullera,2016-02-06T10:25:37+00:00,3,35,"#10 Yo pensaba que era por Piccolo, el personaje de bola de dragón, porque era verde {undecided}"
lgtbi,https://www.meneame.net/story/guardia-civil-impide-agente-lesbiana-sea-condecorada,2559815,18778129,45,42.0,--459665--,2016-02-06T10:14:30+00:00,0,6,"#42 Puedes, y sabes las consecuencias. ¿O es que vas a prohibir votar negativo? (Que conste que no he votado nada)"
