topic,ejemplo,comentario
0,1,"bueno, eso hay que explicárselo a dios🤷‍♀️"
0,2,eso hace que odie a dios
0,3,dios no creo adán y a estaban
1,1,"viva vox viva españa 
a votar avox. que boi 🇪🇸"
1,2,el 10n a votar a vox
1,3,10n a votar vox! viva españa!
2,1,¿daniel carreño es gay?
2,2,orgullosamente gay !!
2,3,".









¿¡como que el ""facilisimo ¿verdad?"" es gay!?"
3,1,ole y ole.viva españa mi tierra.que buen bolero.
3,2,abascal es la salvacion de españa
3,3,campeones campeones ole ole ole
4,1,hhhhh sin inmigrantes que ?
4,2,"hombre, el problema no es contigo... españa también fue un país inmigrante en su día... lo que no se puede tener es inmigración ilegal... eso no es bueno ni para los inmigrantes ni para el país"
4,3,vox nunca se ha quejado de los inmigrantes regularizados y legales. ni tampoco de los inmigrantes ilegales. si de la inmigración ilegal y de todos los que la sustentan y se benefician de ella
5,1,"nooooo como q daniel carreon,no es lqbt"
5,2,grande el vladimir putin😎👌
5,3,🇪🇸❤🇪🇸viva  vox🇪🇸❤🇪🇸viva españa 🇪🇸🇪🇸❤🇪🇸🇪🇸
6,1,viva me padre y me madre
6,2,sí claro que siempre es mejor con un padre y una madre.
6,3,un niño preferiblemente debe tener padre y madre
7,1,está llegadora la canción.
7,2,una chulada de canción
7,3,esa canción me ye gol
8,1,"ya hay hasta videos de esto, es totalmente surrealista 😂"
8,2,por que hacen estos videos
8,3,mencantoo mencantan ts videos
9,1,"son vosotros, los que modificaron el español!"
9,2,solo vox se acuerda de los españoles
9,3,esto es ser un español para los españoles
10,1,mandalos a marruecos otra vez!
10,2,marruecos se comera españa
10,3,que tiene que ver españa con marruecos?😅
11,1,estos son países más caóticos del mundo 🙃
11,2,cada quien es su país
11,3,"por eso estáis mejor con vuestra gente, en vuestro país."
12,1,muy bien señor abascal el único partido que nos representa a españa y a los españoles y que defiende nuestra nación arriba vox y arriba españa
12,2,el presidente de los españoles.
12,3,viva vox como siempre todos con vox el único partido que defiende a los españoles
13,1,"viva vox, viva euskadi y viva españa"
13,2,"santiago abascal es dios en persona, viva vox y viva españa"
