tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17797921,136,135.0,--152249--,2015-09-28T06:48:41+00:00,0,9,"#135 se me fué la cabeza al galego, lo cual seguramente te fastidie más. Lo siento, no volverá a ocurrir."
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17788066,135,,--469438--,2015-09-26T11:21:21+00:00,0,11,Lectura recomendada para #134: http://lema.rae.es/drae/?val=hola
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17649312,134,128.0,--152249--,2015-09-06T14:46:58+00:00,1,1,"#128 Ola, buenas tardes {smiley}"
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17635918,133,131.0,manson2000,2015-09-04T05:07:31+00:00,0,7,"#131 Pues no lo escucharías tu. Pero los Assad son viejos conocidos para todos lo que hemos tenido contacto con la lucha por los derechos humanos. El padre era sencillamente un déspota con algunos episodios (Hama por ejemplo)..... El hijo entro con otros aires, pero lleva 15 años y al final, siendo mas suave que el padre, era mas de lo mismo en seria (la minoría drusa dueña del poder en Siria, régimen corrupto en especial en la familia hasta las trancas, meticoneo en la interminable guerra civil de Líbano...). Y esto que digo no hacen buenos a los halcones de USA (muy en especial a la época Bush) que practicaron la diplomacia cañonera y ahora la zona es un avispero del todos contra todos."
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17635711,132,131.0,--258554--,2015-09-04T00:12:48+00:00,0,14,"#131 Pues yo si me encuentro aqui en meneame y con este tema en concreto, a gente de derechas denunciando el imperalismo. Sobre todo es gente muy contraria a la inmigración pero capaces de ir a las causas y por ser capaz de oponerse al imperialismo. Acojonante descubrimiento.

Y de izquierdas bastantes más, para mi tu postura es izquierda, los otros que comentas incapaces de rascar para ver que hay debajo de la propaganda, en fin... son como zombis..."
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17635681,131,101.0,--482452--,2015-09-03T23:59:39+00:00,2,23,"#101 Que sí, que los Assad son malos malísimos, pero no escuché nada malo de ellos en los 10 años anteriores, eso sí, cuando de pronto el imperialismo está interesado en joder ese país de pronto todo el mundo se traga las mentiras de los mass-mierda y repiten como loros lo malo que es Al Assad, a mi personalmente me la suda porque se que no puedo hacer nada, y lo último que quiero es que los imperialistas de yankilandia o la UE se pongan a tirar bombas allí para ""solucionar"" sus problemas.

#111 Si me centro en los progres es porque luego son los primeros en quejarse cuando los que no son los suyos bombardean, si no solo tienes que ver como se quejaba la gente de Bush y lo poco que dicen de Obama, que está bombardeando muchísimo más y ha llegado a bombardear Somalia en medio de una hambruna, a mi me molestan especialmente los progres por lo jodidamente hipócritas que son. Los fachas o conservadores ya se les ve venir de lejos y sabes que son basura, pero con un progre es muy fácil caer.
Y lo de que hay gente en contra de la guerra en derecha e izquierda es muy relativo, es muy fácil decir estoy en contra de la guerra, pero lo que no veo es a nadie de derechas/izquierdas señalando al imperialismo de su propio país o de la UE, cosa que si hacemos los comunistas aunque al menos en mi caso paso de meterme en eso que llaman izquierda, porque yo con basura humana del psoe, iu o podemos no tengo nada que ver.

#116 Desde el día 1 de las manifestaciones yo ya vi varios vídeos donde los ""manifestantes"" estaban pegando tiros con AKs, y la reforma de la constitución se hizo ya hace tiempo en Siria.


Me da mucho asco que cuando hay bombardeos en otros países se señale a los ""dictadores"" para quitarle hierro al asunto, si algún día nos bombardean a nosotros y resulta que muere toda vuestra familia diré que Rajoy no es ningún santo, que es muy complicado y no me posiciono. ;D"
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17635668,130,129.0,--258554--,2015-09-03T23:54:56+00:00,1,20,"#129 Un placer, ojalá te resulte útil. {wink}"
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17635646,129,127.0,Gorgonita,2015-09-03T23:42:48+00:00,1,20,"#127 muchas gracias. Es el único comentario coherente que he podido leer en todo este tema. Gracias, de verdad."
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17634383,128,1.0,tururuuuu,2015-09-03T18:05:44+00:00,0,6,#1 mira que eres asqueroso y repugnante .... Quien te va a faltar si eres el primer comentario desgraciao.
inmigracion,https://www.meneame.net/story/varios-ninos-refugiados-mueren-ahogados-tratando-llegar-grecia,2472103,17634093,127,118.0,--258554--,2015-09-03T16:56:21+00:00,1,20,"#118 Eres una persona sensible al sufrimiento y que posee esa bella cualidad que es la compasión, el motor que saca lo mejor del ser humano. No permitas que ti ni tú ni nadie, niege o maldiga ese don.

Entiendo tu dolor, tu impotencia y la necesidad imperiosa de recomponerte ante una realidad que te rasga el alma, y suerte que la tienes, ya ves que por el mundo hay de todo, incluidos cínicos insensibles.

En mi opinión, hay pequeñas cosas que están en nuestras manos y se pueden hacer. La primera de ellas y una de las más importantes, es tomar conciencia de las espeluznantes consecuencias de la propaganda bélica. A veces incluso utilizan este tipo de imagen para buscar nuestra aprobación a nuevas acciones bélicas, el origen de todas estas desgracias, igual te sirve lo expuesto en #111 

Si tu capacidad económica te lo permite (y en la medida que lo haga), puedes colaborar con aquellas organizaciones que ayudan con honestidad y transparencia en estas situaciones, tanto de ayuda humanitaria, como promoción de la paz con justicia o integración sociolaboral...

Personalmente una de las pequeñas cosas que más gratificación me reporta, es llevar al día a día esta sensibilidad en los encuentros cotidianos con personas inmigrantes. Son detalles que parecen chorras, como saludar amablemente en la sala de espera del médico o en la cola del supermercado, hacer una gracieta a los peques, sostener la puerta a sus mamás y papás, ceder el paso o tratar de usted a las personas mayores... 
Igual ya lo haces, y en ese caso te habrás dado cuenta de cómo lo reciben: con sorpresa y agrado, porque habitualmente en esta sociedad de la prisa y del trato impersonal, las personas inmigrantes son invisibles o tratados hoscamente. Si alguna vez has emigrado, sabrás lo importante que es sentir que el otro te ve, te reconoce y te acepta.

Preguntas por la ONU. La agencia de refugiados ACNUR lleva tiempo clamando porque su presupuesto es insuficiente. Ciertamente la ayuda a los refugiados, aunque es puro parche, es necesaria. Son muchas vidas las que dependen de esas tienda de campaña, ese batido o esa escuela que les proporciona ACNUR.

Sobre a quien votar, personalmente es algo que pesa mucho en mi voto, apoyar a quien se opone a las guerras, que se niega a caer en la falacia del humanitarismo bélico y a la venta armas a dictaduras brutales. Desgraciadamente esto nunca transciende en campaña electoral, estas víctimas no votan. De nosotras depende que su dignidad humana pese en la composición parlamentaria.

Y otra cosa muy muy importante que además supone sembrar para el futuro, es lo que puede hacer cualquier persona que tiene contactos con niños. Inculcándoles con mucho amor y ejemplo, valores como la empatía, la compasión, la solidaridad, la justicia y sobre todo resolución de conflictos de manera pacífica. Ayudándoles en las situaciones que se le presentan en su día a día, a aplicar estos valores: a razonar poniendose en el lugar del otro, a dar y exigir un trato justo, a ceder, a negociar y a perdonar.

Te dejo una canción con la que pasé una tarde en la que también me sentí fuertemente impactada por las imágenes de personas, familias, niños, que huian de la guerra. No sé si será tu estilo musical, a mi me ayudó a templar el ánimo porque a pesar de describir la realidad, el ritmo te mantiene en pulso activo, sin permitir que te vayas al fondo de tristeza y dolor.
https://www.youtube.com/watch?v=uTwSFraUQNI Aqui la letra https://www.meneame.net/notame/2177711

Un fuerte abrazo para ti y tu pequeñuelo, larga, próspera y compasiva vida para ustedes {0x1f60a}"
