tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27656455,30,11.0,--219330--,2019-08-22T14:31:11+00:00,1,18,"#11 Más que lastre, yo lo llamaria clavo ardiendo que se usa según le parezca al gobierno."
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27656250,29,,--612720--,2019-08-22T14:09:35+00:00,0,6,"No obstante, en un referéndum celebrado en noviembre de 2018, en torno a dos tercios de la población de la isla autogobernada habían votado en contra de permitir las bodas gais. Pero el fallo, un año antes, de la Corte Constitucional taiwanesa, que urgía a eliminar la prohibición, allanó el camino a las uniones entre personas gais. Qué manía con dejar a la población votar sobre las libertades personales. Ya puestos votemos sobre el aborto, o sobre la pena de muerte, ¡quién sabe qué puede salir!"
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27656178,28,24.0,qwerty22,2019-08-22T14:02:09+00:00,0,10,"#24 No confundo. 

La sociedad puede ser muy conservadora, pero no es inamovible. Precisamente España es un ejemplo muy claro de como una sociedad tremendamente conservadora ha evolucionado de una manera brutal en apenas 2 generaciones. La religión ya es otra cosa, al estar basada en textos escritos es tremendamente difícil hacer evolucionar a una sociedad religiosa. Sin una religión que la frene la sociedad puede evolucionar muy rápido. 

El principal problema de china es el Confucianismo, no es exactamente una religión sino una filosofía tremendamente conservadora. Básicamente predica que debes dejar que tus padres tomen todas tus decisiones vitales hasta 3 años despues de que se hayan muerto. Pero siempre es más fácil desprenderse de una filosofía que de una religión."
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655943,27,25.0,--599848--,2019-08-22T13:32:31+00:00,1,19,"#25 Asi es.
Pero esa campaña LGBT proviene de una parte de la poblacion y politicos que o solo ven redito politico, o creen en la paz y el amor son lo unico que existe en el mundo, o simplemente solo quieren ""ampliar su mercado sexual""."
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655892,26,,--603390--,2019-08-22T13:26:19+00:00,1,11,Pues podría acabar con la superpoblación
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655803,25,22.0,--214483--,2019-08-22T13:15:18+00:00,1,19,"#22 a ver seamos realistas, usa es un país ultracatolico. Solo se ha puesto de moda esto del lgtb porque Los países que tienen como no aliados en dicho aspecto son algo más cautelosos. Al cesar lo que es del cesar, aquí no hay nadie libre de pecado"
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655784,24,23.0,--599848--,2019-08-22T13:12:35+00:00,1,17,"#23 Confundes religion con sociedad.
Cierto, el partido comunista chino es ateo, pero tambien es muy conservador socialmente, quizas hasta mas que los republicanos mas religiosos.
Mi abuelo toleraba dificilmente a las cosas LGBT.
Solia decir que una razon historica para la homofobia era que agregaba mas complejidad a las interacciones romanticas. Y el sabia de que tan malo puede ser encontrar pareja."
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655746,23,7.0,qwerty22,2019-08-22T13:08:27+00:00,1,22,"#7 van con retraso. Pero dentro del paramo homófobo que es asía, china es de los paises mas tolerantes del continente. Y tiene una gran ventaja: no es un país religioso, así que tiene margen para evolucionar más rápido y facilmente."
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655743,22,20.0,--599848--,2019-08-22T13:08:22+00:00,0,10,"#20 Pero con China dominando el mundo, impondran su vision conservadora de la sociedad."
lgtbi,https://www.meneame.net/story/china-reitera-veto-matrimonio-gay-no-ajusta-tradiciones,3172894,27655726,21,15.0,--334312--,2019-08-22T13:05:41+00:00,1,20,"#15 Sí, hay que aclararlo. Cohetes que llevan satélites al espacio, no petardos con pólvora negra (que también son cohetes, pero chiquitos)"
