tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26901738,27,3.0,jabujavi,2019-04-30T09:26:21+00:00,1,16,"#3 Los pasillos del congreso 
https://www.youtube.com/watch?v=B3CLvqQo_GI"
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26898267,26,25.0,rutas,2019-04-29T18:50:36+00:00,1,20,"#25 El titular no dice nada de su raza/color de piel. Ni siquiera menciona el país/continente de origen. Sólo dice que fue inmigrante sin papeles.

Lo que yo intentaba argumentar, es que un diputado negro siempre será objeto de duda, como ya lo eran en su día las primeras diputadas mujeres. ""¿Está ahí por méritos propios, o sólo por ser negro/mujer?"" Esa duda también es racismo/machismo inconsciente (nada que ver con Alabama, por supuesto). 

¿Cuántos diputados nuevos habrá esta legislatura, que no conocemos, que no hemos visto en ningún mitin, y que no sabemos por qué estaban en la lista de su partido? ¿Cuántos de ellos son puestos en duda sin darles tiempo para demostrar su capacidad de representación pública?"
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26898006,25,24.0,--607536--,2019-04-29T18:05:16+00:00,0,7,"#24 Y porqué iba a exigirle más (o menos)? Acaso estás insinuando que valoro a los políticos por su color de piel en lugar de por su retórica, planes y programas?  Acaso estás insinuando que valoro a los políticos en base a la raza como se intenta insinuar  en esta noticia de eldiario.es? 

La prueba de que el meta-mensaje la noticia es la raza es es evidente: el cuerpo de la noticia si que habla del curriculum de Luc André -- denso y extenso, todo sea dicho --, pero es secundario; el titular habla de la raza/color de piel del sujeto de la noticia, no de las cualidades del candidato, ni de su trayectoria, si no que de la raza .

A ver si empezamos a dejar de hacer el gilipollas con las razas y los colorines de piel. España nunca fué racista y no lo va a ser por mucho que se repita el discurso importando de EEUU: España no es Alabama . 

El primer paso que tiene que dar las izquierdas españolas si quieren salir del callejón en el que se han metido es dejar de hacer copy & paste de las ""técnicas de comunicación política"" del partido demócrata de la jodida Hillary Clinton.

He dicho."
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897750,24,22.0,rutas,2019-04-29T17:27:50+00:00,2,23,"#22 Es tu opinión. Supongo que algún día habrá un diputado negro en España que no te parezca un florero. La pregunta es... ¿le exigirás lo mismo que al resto de diputados, o le exigirás más que a los demás para no considerarlo un florero? Mmmm..."
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897730,23,19.0,--577629--,2019-04-29T17:24:19+00:00,1,19,"#19 de aquí a nada cuotas para negros. 
Cualquier agresión de blanco hacia negro será considerada motivada por  odio racial. 
Y cualquier denuncia de un negro llevará ipso facto a un blanco al calabozo. 
Como si lo viera venir."
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897604,22,20.0,--607536--,2019-04-29T17:00:53+00:00,1,10,"#20 Claro, es que ""el negro de Vox"" es otra acción performativa por parte de la ""voz del pueblo"" (Vox populi, vox Deus) y por supuesto que han puesto a ambos de floreros, porque vale más las acción performativa que la praxis política. Es la característica de los populismos: más postureo que programa, porque el objetivo es conquistar el corazón del votante, no la razón."
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897372,21,9.0,rutas,2019-04-29T16:24:50+00:00,0,10,#9 Uno es negro y el otro parece más bien mulato.
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897339,20,19.0,rutas,2019-04-29T16:20:51+00:00,3,25,"#19 Entiendo tu análisis; pero creo que encaja mucho mejor en el caso del fichaje del ""negro de Vox"" en Barcelona, que claramente es un intento del partido de extrema derecha de quitarse el sambenito de ""racista"". Eso sí que es puro postureo friki. Este otro fichaje del PSOE al menos lleva muchos años trabajando de forma muy activa con temas de inmigración y políticas sociales en Canarias. Y lo han fichado para un puesto importante justo en ese campo; se entiende que no está ahí para ser un simple ""florero"".

Como fichaje político tiene mucho más sentido que cualquier torero, por ejemplo. Esos sí que son ""floreros"" de verdad (lo habrían sido si hubieran conseguido escaño)."
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897142,19,17.0,--607536--,2019-04-29T15:54:55+00:00,0,7,"#17 #16 Si, pero tú y yo (y todos) sabemos que esa no es la razón por la que están ""visibilizando"" a este político, si no que la razón es precisamente la que aparece en la propia entradilla de la noticia: «de origen senegalés de la historia de España. Sabe lo que es vivir sin papeles, dormir al raso en una playa durante semanas para después empezar a trabajar como líder sindicalista»

No creo que noticias como esta ayudan precisamente a que las izquierdas vuelvan al camino de la razón, por lo tanto hay que hacer autocrítica: el el meta-mensaje de esta noticia es una basura. Tener color de piel negro no es motivo para que ""te coloquen"" en un puesto de la industria política; ser capaz, audaz, etc sí son motivos para que ""te coloquen"" en un puesto de la industria política **PERO en ambos casos la lealtad es siempre al partido** bajo coacción de multa, por lo que realmente no importa que el político esté preparado o no, ya que siempre votará lo que diga el comité central su partido.

Teniendo en cuenta la lealtad de partido expuesta en el párrafo de arriba, se podría asumir que esta acción por parte del PSOE es más performativa que otra cosa, es decir, es puro postureo y pone de manifiesto que a Luc André Diouf lo han puesto ahí no por que sea válido (que lo puede ser) o no porque sea inteligente (que seguramente lo será), si no porque puede ser usado como el protagonista de una performance .

No olvidéis que vivimos en https://es.wikipedia.org/wiki/La_sociedad_del_espectáculo [[La sociedad del espectáculo]] {tongue}"
inmigracion,https://www.meneame.net/story/luc-andre-diouf-inmigrante-sin-papeles-diputado-congreso,3120115,26897038,18,,tiopio,2019-04-29T15:42:20+00:00,0,12,"Gracias Vox, os lo debemos a vosotros."
