tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17709051,10,9.0,Maldito,2015-09-15T08:56:10+00:00,0,10,#9 Más bien de subsaharianos. Piensa que por ejemplo ya no llegan las pateras o cayucos que llegaban antes.
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17708536,9,7.0,--305786--,2015-09-15T07:50:50+00:00,0,9,"#7 pues con 2 millones de marroquíes en España, vaya control de la inmigración que es eso"
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17707221,8,2.0,--489537--,2015-09-14T22:49:02+00:00,2,17,"#2 Yo lo conozco como ""Nunca digas de este agua no beberé ni este cura no es mi padre"""
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17707067,7,3.0,Maldito,2015-09-14T22:19:31+00:00,2,30,"#3 No se si es conspiranoia o no, ¿pero no se decía que España no reclama nada en el Sahara Occidental mientras Marruecos controle la inmigración?"
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17706975,6,5.0,--394145--,2015-09-14T22:02:13+00:00,0,15,#5 La droga y el tabaco tienen carta blanca que hay mucho dinero en juego...
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17706942,5,3.0,landaburu,2015-09-14T21:56:02+00:00,1,17,"#3 joder, ayuditas y acuerdos comerciales, si no te llenan el estrecho de lanchas con droga y tabaco y de cayucos con personas inmigrantes."
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17706920,4,3.0,--152893--,2015-09-14T21:52:42+00:00,5,53,#3 Ayudas al desarrollo. ¿en serio no lo sabias?
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17706890,3,,--394145--,2015-09-14T21:47:48+00:00,1,24,"No se que interés puede tener Marruecos en no dejarlos pasar, a no ser que exista alguna contraprestación que no conozcamos...."
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17706865,2,,--8993--,2015-09-14T21:43:12+00:00,5,28,"Me parece muy gracioso que ahora sea Europa la que este hablando de cerrar o controlar fronteras, militarizar fronteras, deportar o mover inmigrantes, y exigir identificación a los recien llegados indocumentados. Hace 6 meses la mayor parte de Europa consideraba las medidas estadounidenses de inmigración totalmente injustas e inhumanas , y presumían muy orgullosos de tener fronteras abiertas.... y ahora ellos están aplicando o planean hacer lo mismo que critican de EEUU. 

Como dice el refrán, ""Nunca digas 'de esta agua no beberé', porque el camino es largo y te puede dar sed""."
inmigracion,https://www.meneame.net/story/marruecos-cierra-frontera-espana-avalancha-inmigrantes-sirios,2478033,17706861,1,,--152893--,2015-09-14T21:42:26+00:00,2,17,"Bueno, al menos por una vez los marroquies ayudan en algo, haciendo el trabajo sucio que debería hacer España."
