tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27029472,24,,--272179--,2019-05-20T12:12:19+00:00,0,14,"Y qué importancia tiene esto y qué recorrido jurídico, repercusiones etc?

El que hay de aquí a las elecciones del fin de semana.

No creo que piensen en inundar de querellas los juzgados de toda España cada  vez que alguien entre ilegalmente en el país o bien lo haga legalmente pero con  el fin de quedarse ilegalmente.

Por lo tanto este es un acto de campaña. Y además tremendamente no ya populista, sino populachero.

Ergo:

Irrelevante, spam... Hay para elegir."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27023492,23,21.0,--603883--,2019-05-19T11:48:48+00:00,0,5,"#21 ¿En serio seguís con la fantasía esa de los empresarios malos que explotan a todo el mundo?
¿Todavía decís que esos chavales tan majos no vienen a robar ni a violar sino a pagarnos las pensiones?

Búscate otra cosa, así evitarás que no nos riamos todos en tu cara {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27019758,22,21.0,Feindesland,2019-05-18T15:26:03+00:00,0,15,"#21 O sea que el esquirol es culpa del patrono, ¿eh?

Estabas tú para una verdadera lucha obrera.,..

{wall}"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27018306,21,19.0,jpablo,2019-05-18T10:50:49+00:00,0,13,"#19 a mi me parece mal, mejor que denuncien a los empresarios que pillan inmigrantes sin contrato y les pagan una mierda"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27017168,20,19.0,--599044--,2019-05-18T07:42:07+00:00,0,7,"#19 A Carmena para empezar seguro que sí. ""Vienen los mejores"" y tal."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27017064,19,,--603883--,2019-05-18T07:11:54+00:00,1,12,¿Y a alguien le puede parecer mal?
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016780,18,,tierramar,2019-05-18T05:26:16+00:00,1,21,"Pero VOX trae a la inmigración latina con el problema de las bandas latinas, y el dumping laboral. 3 millones de parados y promueven traer inmigración latina, que al no tener la barrera del idioma puede competir con los españoles en puestos cualificados y no cualificados. Vox también promueve la rápida nacionalización de los latinos, con lo cuál, pueden competir con los españoles en las oposiciones a funcionarios.
PROGRAMA de VOX: "" Reconocimiento constitucional de la Comunidad Histórica conformada por España y las naciones hispano-americanas . Contribución a la integración confederal del espacio ibero-americano.""Impulsar un gran Plan Nacional de Cooperación Internacional con las naciones de la comunidad histórica hispana..., garantizar la seguridad jurídica en los países de acogida y ordenar el flujo migratorio.
VOX es un instrumento del IBEX y los poderes económicos, como los son el PPSOE, y Ciudadanos, como tales, apoyan uno de los objetivos del neoliberalismo:que desaparezca la clase media. Trayendo inmigración latina, que puede acceder a puestos de trabajo de la clase media (médicos, ingenieros,...) consiguen mantener los sueldos bajos, y la precariedad laboral.
Denuncian la inmigración africana porque no es mano de obra cualificada, que pueda competir por puestos de trabajo."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016663,17,10.0,--295195--,2019-05-18T01:30:59+00:00,0,6,"#10 Pues yo la he leído y el payaso ese dice que tuvo la orden y que no pisa territorio inglés por si acaso, no sé que le retráes al compañero. A mi me suena a fanfarronería para catetos pero puede que la orden existiera. También huvo una orden para Puigdemont y estaba bien localizable, pero a no ser que se ocupe Europol o algo parecido no hay potestad en territorio extranjero, por mas localizable que estés."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016629,16,15.0,--545066--,2019-05-18T00:35:38+00:00,0,5,"#15 Hombre, en un caso a si, al pais de donde han salido las embarcaciones."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016582,15,14.0,Feindesland,2019-05-18T00:09:53+00:00,0,15,"#14 No sé si el delito de entrada ilegal en cuestión basta para expulsarlos y, en todo caso, el problema es a dónde, porque a menudo se deshacen de los papeles para que no haya sitio al que devolverlos.

La idea, según he oído, es que no puedan tener un salario aquí ni reclamar nunca pensión alguna por causa de esa deuda, lo que los llevará a irse a otra parte. Si debes 30.000 nada más llegar, quizás sea otra cosa.

Pero insisto en que es un rumor que he oído."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016491,14,2.0,--545066--,2019-05-17T23:23:54+00:00,1,-11,#2 Aparte de expulsarlo. Que es lo que básicamente deberia pasar con todo inmigrante ilegal con respecto a nuestra legalidad vigente en materia de extranjeria. O es que unos delitos no pasa nada si se cometen y otros si.
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016398,13,,jonolulu,2019-05-17T22:47:24+00:00,0,11,"Para tener a un abogado de número dos les veo bastante perdido, aunque esto más bien será idea de un responsable de comunicación.

Ruido"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016113,12,,--601554--,2019-05-17T21:14:52+00:00,1,20,"Miserables. Eso sí, católicos, apostólicos y como con la cruz siempre presente....vaya cuadrilla de psicópatas."
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27016029,11,,--561389--,2019-05-17T20:55:40+00:00,0,6,Covardes
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27015990,10,8.0,--587579--,2019-05-17T20:46:08+00:00,2,17,"#8 Lee otra vez la noticia , anda"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27015988,9,8.0,Feindesland,2019-05-17T20:45:26+00:00,0,15,"#8 ¿Lo descartas?

{wink}"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27015982,8,7.0,albertiño12,2019-05-17T20:44:30+00:00,7,92,"#7 En ese caso se lo ha inventado él mismo:

https://www.elplural.com/fuera-de-foco/el-numero-2-de-vox-confirma-que-tiene-una-orden-de-busqueda-y-captura_209338102_amp"
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27015973,7,5.0,--587579--,2019-05-17T20:42:14+00:00,3,33,#5 INVENT  . En busca y captura no puede estar porque está localizable en territorio nacional
inmigracion,https://www.meneame.net/story/vox-presenta-querella-criminal-contra-52-inmigrantes-ultimo,3128668,27015967,6,5.0,Feindesland,2019-05-17T20:41:25+00:00,1,35,"#5 Pues lo que dice #4  Supongo...

{lol} {lol}"
