tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20234287,29,9.0,suzudo,2016-08-30T15:17:58+00:00,0,7,#9 HOmbre si se es bisexual (parece que se olvida que existe esa condición) pues pueden dar algunos casos de supuesta cura
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20229836,28,27.0,--522782--,2016-08-29T23:48:32+00:00,0,7,#27 Eing?
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20229790,27,23.0,--519606--,2016-08-29T23:20:30+00:00,0,7,#23 Si eso fuera verdad se suicidarían menos en países más tolerantes. No es así.
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20229771,26,24.0,--519606--,2016-08-29T23:14:20+00:00,0,7,#24 La civilización no es una cueva.
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20228849,25,5.0,borteixo,2016-08-29T20:12:17+00:00,0,11,"#5 totalmente de acuerdo: nadie denuncia los anuncios de curanderos, horóscopo y demás gilipolleces."
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20228836,24,11.0,borteixo,2016-08-29T20:10:45+00:00,0,11,#11 de qué cueva has salido?
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20228228,23,22.0,--522782--,2016-08-29T18:28:55+00:00,1,19,"#22 Las crisis de identidad sexual están provocadas por la homofobia. Sin la discrimimación, los niños homosexuales tendtían un desarrollo normal como el de cualquier heterosexual.

Y que nazcamos o no de esta forma es algo que escapa de tu entendimiento."
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20228082,22,17.0,--519606--,2016-08-29T17:59:05+00:00,0,7,"#17 De acuerdo.

#18 Sí, pero el tono victimista de la izquierda hace ver la homosexualidad como una discapacidad.

No hay que inventarse cosas como ""nació así"" para defender los homosexuales, porque aunque la intención es buena, mentir es malo y hasta perjudicial para las personas con crisis de identidad sexual."
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20227236,21,,YOYOMISMA,2016-08-29T15:28:03+00:00,0,9,"""La web de una supuesta terapeuta ha sido denunciada [...] por si pudiera incurrir en un delito de homofobia.""

Yo la denunciaría directamente como estafa."
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20227229,20,11.0,paputayo,2016-08-29T15:27:26+00:00,0,11,"#11 ""Cuando uno es niño ni siquiera es consciente de eso... a menos que te sodomicen a los tres años."" Juan Antonio, ¿eres tú? {roll} 
http://www.eldiario.es/sociedad/obispo-Alcala-homosexuales-nombrarlos-proclives_0_366064144.html"
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20226938,19,5.0,--522782--,2016-08-29T14:53:33+00:00,1,10,#5 Estas terapias son tortura que acaban en graves transtornos y suicidios. Por desgracia creo que no está prohibida.
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20226549,18,17.0,kampanita,2016-08-29T14:10:21+00:00,2,22,"#17 No les acepto porque ""hayan nacido así"". Les acepto porque cada persona es libre de hacer con su vida lo que quiera mientras no haga daño a los demás."
lgtbi,https://www.meneame.net/story/denuncian-web-supuesta-terapeuta-ofrece-curar-homosexualidad,2664033,20226454,17,11.0,numofe,2016-08-29T13:59:48+00:00,3,34,#11 #1 A mi me molesta mucho que se use el argumento de que hay que aceptar a los gays porque nacen así. Tengo amigos homosexuales que usan ese mismo argumento. No voy a entrar en el debate sobre si esto es verdad o no porque no me interesa. No hay que aceptar la homosexualidad porque se nace con ella. Hay que aceptarla porque no hay nada malo en ser gay y no se hace daño a nadie. Que una persona sea gay y decida tener relaciones amorosas o sexuales con alguien de su mismo sexo no tiene ningún impacto en la vida de terceras personas y por lo tanto no se les puede privar de ningún derecho. Que dos personas homosexuales se casen no hace daño a nadie y eso es motivo suficiente para que puedan hacerlo.
