tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38589040,38,37.0,Verdaderofalso,2023-06-11T08:31:14+00:00,0,20,"#37 es que ya no es newtral, son medios franceses locales que entrevistaron a personas que estaban allí en los primeros momentos y dan más detalles que no salen en otros medios.

Un ejemplo es este medio que recoge más datos
 https://www.liberation.fr/societe/attaque-au-couteau-a-annecy-ce-que-lon-sait-de-lassaillant-20230608_UU7I6MLZZZDZ7LFPOQDKNBWSTM/

Repito, no tengo la verdad absoluta"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38588992,37,25.0,J.J.,2023-06-11T08:21:18+00:00,1,18,"#25 Que hayan mas fuentes que propaguen un bulo no lo hace verdad, mira el vídeo anda.

Y Newtal ya se sabe de sobra de que pié cojea y como no es la primera vez que en vez de verificar bulos es dicha verificadora la que suelta el bulo.

Por lo poco que te conozco creo que con los temas de Rusia y el Covid creo que eras mas escéptico con Newtral ¿verdad?"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38585811,36,34.0,Verdaderofalso,2023-06-10T16:06:46+00:00,0,18,#34 imposible que twitter lo censure siendo el faro de Libertad de expresión por excelencia
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38585610,35,14.0,Enésimo_strike,2023-06-10T15:28:14+00:00,1,22,"#14 he leído que tenia estatus de refugiado en Suecia y un hijo/a con una sueca, así que supongo que no está en situación administrativa irregular dentro de la UE."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38585209,34,1.0,gontxa,2023-06-10T14:04:08+00:00,0,10,#1 pude ver el vídeo antes de que Twitter lo censurase y la persona que gritaba eso era la que lo grababa o alguien muy próximo a ella.
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38585139,33,,Nova6K0,2023-06-10T13:52:05+00:00,0,9,"No lo digo por aquí... Pero lo mejor de este tipo de sucesos trágicos, es ver a fanáticos religiosos defender su religión, porque fueron los otros... 

Saludos."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584463,32,,endy,2023-06-10T12:00:53+00:00,0,7,"La función del terrorismo es provocar terror y confusión. Y por eso, ¿qué mejor forma de hacerlo que hacerse pasar por cristiano?
Eso hace que ""exploten"" muchas cabezas occidentales dándole vueltas a ese asunto pero no es más que una puesta en escena horrible por parte de un maldito animal salvaje.
Ojalá que las familias encuentren algún día consuelo ante ese sinsentido."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584335,31,1.0,--582918--,2023-06-10T11:43:48+00:00,0,12,"#1 o proclamarla libertad de expresión maxime cuando en España ciertos grupos cometen ma mayoria de delitos y los medios de comunicación ya cercenan esta información.

Fin a la incitación al sesgo de información veraz, real, y contrastada."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584228,30,26.0,RobertNeville,2023-06-10T11:24:36+00:00,3,36,"#26 En el propio video que he enviado se puede ver cómo es el que graba el que dice Jesucristo:

https://twitter.com/TheObjective_es/status/1667163601893769219

La voz se oye cerca de la cámara. No es la de alguien gritando desde lejos."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584227,29,28.0,Verdaderofalso,2023-06-10T11:24:33+00:00,1,21,#28 Liberation va más allá https://www.liberation.fr/societe/attaque-au-couteau-a-annecy-ce-que-lon-sait-de-lassaillant-20230608_UU7I6MLZZZDZ7LFPOQDKNBWSTM/
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584219,28,26.0,MiguelDeUnamano,2023-06-10T11:23:33+00:00,0,20,"#26 Puedes partir de la idea de que TheObjetive nunca dice la verdad, como Rusia. {lol} {lol} {lol}"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584213,27,22.0,Verdaderofalso,2023-06-10T11:22:57+00:00,0,18,#22 https://www.liberation.fr/societe/attaque-au-couteau-a-annecy-ce-que-lon-sait-de-lassaillant-20230608_UU7I6MLZZZDZ7LFPOQDKNBWSTM/
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584179,26,24.0,Verdaderofalso,2023-06-10T11:17:57+00:00,1,21,"#24 newtral dice lo mismo https://www.newtral.es/atacante-francia-yihadista/20230609/?amp

La BBC dice lo mismo 
https://www.bbc.com/news/world-europe-65841666

Y con esto no quiero decir que tenga la verdad absoluta. Ojo."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584174,25,24.0,Verdaderofalso,2023-06-10T11:17:11+00:00,1,21,#24 pues hay más fuentes que dicen lo contrario. https://www.dailymail.co.uk/news/article-12173067/Eight-children-stabbed-knifeman-French-playground-attacker-subdued.html?amp=true?ito=push-notification&ci=3bucWQzTw_&cri=DEh_lkQmqU&si=dWzYdHppzM3oξ=1630ab9f-8818-4acc-a222-5a00b87e771e&ai=12173067
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38584149,24,1.0,RobertNeville,2023-06-10T11:13:33+00:00,9,83,"#1 Sería un buen momento para reconocer que has enviado un bulo:

https://twitter.com/TheObjective_es/status/1667163601893769219

El agresor no gritó. Es el que lo grababa el que gritó ""en el nombre de Jesucristo"".

Espero que seas decente y cierres la noticia. De momento voto negativo por bulo."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583966,23,22.0,oso_69,2023-06-10T10:43:49+00:00,1,19,"#22 He visto el vídeo una sola vez y no tengo ganas de volver a verlo. Es muy posible que sea como decís. Lo único es que resulta extraño. Si me dijeras que atacó a niños musulmanes o negros (pensando que por ser negros serían musulmanes) lo entendería, es un fanático y un terrorista cristiano. ¿Pero que sentido tiene atacar niños occidentales que probabilísticamente sean también cristianos?

No te lo pregunto a ti, es sólo una reflexión. Sea como sea, para mí está claro que con ese tipo deberían recuperarse tradiciones como la guillotina o al menos la Bastilla y sus máscaras de hierro. O cuando menos volver a los tiempos de la Guayana Francesa, como en ""Papillón""."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583927,22,15.0,plutanasio,2023-06-10T10:37:14+00:00,0,8,#15 En el video se ve como lleva una cruz de colgante y la besa antes de seguir apuñalando.
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583875,21,20.0,Verdaderofalso,2023-06-10T10:29:39+00:00,2,28,"#20 a ver qué soy de la opinión de la libertad de expresión, pero si te pasas de frenada asume consecuencias.

Aunque bien razonado el tema de, que hay gente que recoge cable y pide perdón. Y otros tiran para lante y siguen con cualquier excusa para su discurso.
Y entiendo tu postura"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583847,20,19.0,V.V.V.,2023-06-10T10:25:19+00:00,0,7,"#19 Gracias por el cumplido.

{lol} Pensaba que me ibas a funar. {lol}

#FreeAssange"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583828,19,16.0,Verdaderofalso,2023-06-10T10:23:57+00:00,1,25,"#16 perfecto razonamiento, me descubro ante usted"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583817,18,7.0,jobar,2023-06-10T10:23:02+00:00,1,30,#7 Misma lógica que Anakin matando niños jedis para salvar a su mujer y la república.
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583798,17,4.0,Deviance,2023-06-10T10:18:17+00:00,0,10,"#4 Un pijama con la piel de un gocho?.
Si le salen sarpullidos y se le pone cara de loco es un sarraceno integral....."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583785,16,1.0,V.V.V.,2023-06-10T10:16:14+00:00,3,37,"#1 Sería buen momento para empezar a pensar que el odio no se soluciona con ""strikes"" y que los tales ""strikes"" lo único que promocionan es la hipocresía. Acallar los prejuicios de la gente, no solo hace que estos no desaparezcan, sino que victimiza a quien los tiene. Las palabras pueden ser todo lo equivocadas que quieras, pero a menos que sean órdenes, no hacen daño.

Me encantan tus comentarios y muchos de tus envíos, que me hacen reír, pero pedir strikes por ""odio"" cuando hablamos simplemente de prejuicios, que por cierto todos tenemos en mayor o menor medida. No solo desincentiva el debate, sino que además no nos deja ver los razonamientos que hay detrás de ese tipo de discriminación. La gente ha sacado como conclusión que se trataba de un islamista fanático por su forma de actuar, cuando se han dado cuenta de que no es así, han tratado de defender su indefendible postura a capa y espada, con lo cual se han delatado mucho más. Si prohibimos cualquier tipo de crítica al Islam, no habríamos visto esto.

#FreeAssange"
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583782,15,,oso_69,2023-06-10T10:15:48+00:00,0,10,"Hoy me ha parecido leer en Twitter que era mentira, que no había gritado nada de ""En nombre de Jesucristo"". ¿Alguien más lo ha leído? Creo que era en ese medio... ""Thereap"" o como se llame."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583778,14,2.0,Deviance,2023-06-10T10:15:19+00:00,1,13,"#2 En principio estaba en situación ilegal..... o eso dicen algunas fuentes. Así que lo de que le han acogido suena de primeras así como un poco..... no se.... falso?, o equivocado tb cabe."
inmigracion,https://www.meneame.net/story/atacante-ninos-franceses-fue-detenido-dijo-ser-cristiano-grito,3822642,38583752,13,10.0,Deviance,2023-06-10T10:10:58+00:00,0,10,"#10 Les puede la rabia visceral que nos inoculan a diario los intereses de quienes tu y yo ya sabemos de sobra. Lo tienen todo muy bien calculado. Y la verdad es que el tema ya es preocupante, lo vemos a diario en el entorno. El personal se traga lo que le echen sin tener en cuenta factores que son fundamentales, como por ejemplo la manipulación."
