tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17574377,100,64.0,--469567--,2015-08-25T19:55:42+00:00,0,6,"#64 +1 Es una agresion sin mas, de homofobo, tiene poco, los vieron flojos, poco mas."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17572950,99,1.0,earthboy,2015-08-25T16:26:02+00:00,0,12,"#1 @gallir , controla tu cortijo."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17572785,98,97.0,Marky,2015-08-25T16:00:51+00:00,0,7,#97 Te ha quedado precioso.
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17572555,97,96.0,--473832--,2015-08-25T15:28:19+00:00,0,6,"#96 No es que además haya sitios peores, es que está comprobado que España es un país que acepta la homosexualidad y es muy tolerante con ella. Que haya cuatro gilipollas homófobos sueltos, a los que además persigue la ley, no es argumento para decir que a los homosexuales se les persigue, se les discrimina, o que viven de pena. Es convertir la excepción en la regla."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17572296,96,92.0,Marky,2015-08-25T15:00:42+00:00,0,7,"#92 Muy bonito y tal... pero no comentas nada de lo que yo he escrito. Solo he criticado eso de ""hay sitios peores"" como argumento para dar a entender que aquí vivimos genial. Lo demás no me interesa."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17571650,95,94.0,AIter,2015-08-25T13:51:12+00:00,1,18,"#94 Ya he comprendido lo que quieres decir. Como respuesta tiene más sentido, aunque carezca de sentido al mismo tiempo. Simplemente el planteamiento que hace es erróneo."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17571459,94,93.0,--469438--,2015-08-25T13:29:17+00:00,1,18,"#93 Yo lo que digo (es la impresión que me ha dado, igual no es así) es que él no quería decir «¿a mí qué me importa?» sino, precisamente, «¿a mi qué?» , al confundir el «tu» con el «ti» , como si la otra persona hubiera usado un posesivo y éste responde preguntando por el objeto omitido que se posee.

— Voy a pegarte a tu(sic) .
— ¿A mi qué? La frase en este caso era:
— A ti te deberían dar hostias .

Y él ha respondido:
— Pues sí, ¿pero a mi qué? O expresado de otra forma: —Pues sí, ¿pero a qué de entre todo lo mío hay que darle de hostias? Ha respondido como si el otro estuviera diciendo: «A tu te deberían dar hostias» y él le intentara corregir como si hubiera usado un posesivo en lugar de un pronombre. De hecho, tiene más sentido que se estuviera refiriendo a eso dado que justo después dice lo de «porque ese ""ti"" lleva tilde» ."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17571372,93,81.0,AIter,2015-08-25T13:19:09+00:00,0,10,"#81 No es lo mismo decir ¿mi qué? que ¿a mí qué?

Completando la frase para verlo más fácil, cuando alguien dice: ""¿a mí qué me importa?"" está aludiéndose a sí mismo. Dicho de otra manera para verlo más fácil todavía: ¿a ÉL/ELLA qué le importa? Está claro que es un pronombre."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17570814,92,80.0,--473832--,2015-08-25T12:30:07+00:00,1,-2,"#80 Eso de que no hay que tomar ninguna medida lo has dicho tú, no yo. De hecho ya se toman medidas; las agresiones homófobas tienen el agravante de crimen de odio, al igual que las racistas. No sé que más medidas quieres, si la ley ya persigue activamente ese tipo de agresiones, pero a algunos os encanta ir llorando por ahí y creeros que existe una persecución. No sé, a lo mejor esperas que el Estado ponga guardaespaldas a todos los homosexuales."
lgtbi,https://www.meneame.net/story/agreden-madrid-pareja-homosexuales-tras-preguntarles-eran,2467645,17570502,91,1.0,Mister_Lala,2015-08-25T12:05:26+00:00,0,9,"#1 ¿Andrea Fabra, eres tú?"
