tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39148844,38,34.0,Polarin,2023-08-29T00:54:25+00:00,0,10,#34 No... lo hundimos.
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39148842,37,34.0,Polarin,2023-08-29T00:54:12+00:00,0,10,#34 No... lo hundimos.
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39148786,36,8.0,Jacusse,2023-08-29T00:06:03+00:00,0,9,"#8 como ""invisibilizar""."
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39144202,35,33.0,Jakeukalane,2023-08-28T12:03:22+00:00,0,11,#33 en este caso. Pensé que era obvio.
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39143527,34,17.0,--108504--,2023-08-28T10:59:54+00:00,0,6,"#17 Sí hombre, claro, y les regalamos el barco."
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39142264,33,8.0,strike5000,2023-08-28T08:59:19+00:00,0,8,"#8 Es un término ampliamente utilizado y reconocido. ""6. Beso con el pico
El famoso “piquito” o “pico” es un beso en el que los labios de las dos personas entran en contacto pero no llegan a interactuar las lenguas. Puede ser un pico amistoso o un pre-beso francés. En este caso, puede significar que una de las dos personas quieren ir poco a poco. En cualquier caso suele ser una señal de atracción física entre dos personas."" https://psicologiaymente.com/pareja/tipos-de-besos-significado ""5. Pico
El famoso pico es un tipo de beso en el que los labios entran en contacto pero no llega a haber interacción entre las lenguas ni movimientos de beso clásico. Una clara muestra de atracción física que, no nos engañemos, suele derivar en un contacto con lenguas."" https://medicoplus.com/medicina-general/tipos-besos ""10. El pico.

El pico es un beso que bien nos vale para medir cómo está el tema. Cada persona mantiene cerrados ojos y labios durante el rápido beso. La autora explica, ""Este breve beso consiste en averiguar si enciende la chispa que podría dar lugar a tipos de besos más excitantes"".

En relaciones de pareja estables, este beso es muchas veces y sencillamente una manera de saludar."" https://culturainquieta.com/es/lifestyle/item/11436-11-tipos-de-besos-que-revelan-la-manera-en-la-que-nos-relacionamos.html"
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39141949,32,26.0,Itrio,2023-08-28T08:23:32+00:00,1,18,"#26 Pues que cambien las leyes, que España se salga de los tratados internacionales y sean consecuentes las leyes con sus acciones. Mientras tanto, tendrá que actuar según dictan esas leyes. Los derechos se ejercen y si no se ejercen es como si no existieran y que yo sepa aquí todo el mundo presume de vivir en un 'estado de derecho' y eso implica respetarlos."
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39141719,31,,bizcobollo,2023-08-28T07:52:15+00:00,1,10,"Les está bien empleado por estar donde no tienen que estar.
La Guardia Civil en los puestos aduaneros pidiendo pasaportes, el Ejército en la línea fronteriza para que no pase ni dios."
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39141446,30,,Hacksturcon,2023-08-28T07:12:36+00:00,0,6,Joder con la GC...  pensé que lo de traer migrantes como si no hubiese un mañana era solo cosa de algunas ONG.
inmigracion,https://www.meneame.net/story/guardia-civil-atrapada-dentro-barco-puerto-mauritania,3849157,39141108,29,5.0,Dene,2023-08-28T05:58:28+00:00,0,11,#5 hasta el tercer párrafo ibas bien...
