tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39017404,37,34.0,aozora,2023-08-09T20:40:39+00:00,0,7,#34 Señala por favor donde yo he tenido esa actitud homófoba que dices.
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39012311,36,35.0,--29750--,2023-08-09T07:10:15+00:00,0,11,"#35 es un nido de odio.
Peronlo es pq se ha expulsado a quien podía pensar diferente con insultos y solo quedan los alineados y 4 chalados q estamos x aquí"
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39012240,35,30.0,Grahml,2023-08-09T06:58:47+00:00,1,28,"#30 Bueno, hay que destacar que en ningún momento dice El Diario que el motivo fue poner la bandera arcoiris. Así que tampoco podemos decir que sea bulo. 

Pero lo dejan caer, cuando otros medios sí dejan claro que la motivación es el enfado y confusión creado en la reciente comunicación de quién se debe quedar en casa en Mallorca (que obviamente no fue para los turistas, aquellos que en realidad colapsaron la ciudad y que obviamente, en sus vacaciones no se van a quedar en casa, ya ves tú).

De ahí que sí considere esta noticia de eldiario y cómo lo tratan como manipuladora, como digo en #14.

Me llama la atención no obstante, qué fácil el personal aquí recurre al insulto en el momento en que se detallan las motivaciones de las conclusiones alcanzadas, como por ejemplo cuando reargumento mis conclusiones en #24.
Es como si se vieran entre la espada y la pared a la hora de justificar su odio, y por falta de contra argumentos, decidieran sacar a la luz el franquito golpista del 36 que en realidad llevan dentro. A saco con su odio e insultos, hasta el punto de denominar ""ciudadanos"" a lo que ellos consideran. {palm} 

Son de traca las actitudes vergonzantes que algunos deciden exponer en estos foros."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011963,34,17.0,BastianBaltasarBux,2023-08-09T06:01:57+00:00,0,11,"#17 ""la manía de hacerse ver"" se llama reivindicar y visibilizarse para luchar contra las lacras de las actitudes homófobas como la tuya."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011908,33,,--302145--,2023-08-09T05:41:39+00:00,1,15,"Por lo que se ve, en Mallorca ni quieren ni respetan ni maricones ni bolleras.
Está bien saberlo."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011839,32,24.0,Grahml,2023-08-09T04:58:16+00:00,0,17,#24 Me alegra que el site tenga las herramientas adecuadas para mantener alejados ciertos elementos realmente despreciables.
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011824,31,,aozora,2023-08-09T04:43:30+00:00,0,7,"Sí, a la psicología me refiero. ¿De donde viene esa necesidad de ser vistos?"
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011577,30,14.0,--29750--,2023-08-09T00:17:36+00:00,1,2,"#14 vamos, q fake news del. Diario pero aquí se vota q es verdad pq. Como va a ser mentira si dice lo q pienso..."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011384,29,3.0,Mark_,2023-08-08T22:41:03+00:00,0,12,"#3 de todas las cosas que podías comparar, elegiste la más estúpida."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011221,28,25.0,letra,2023-08-08T21:57:05+00:00,3,37,"#25 Consideras nada porque no eres capaz de ver la diferencia entre quienes necesitan visibilizar que su condición sexual es legítima y no debe asustar a nadie y quienes todo el mundo tiene asumido que su condición es legítima y ""si asusta te jodes"". Para el resto de tus problemás habla con un psicólogo."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011210,27,24.0,letra,2023-08-08T21:54:51+00:00,3,38,"#24 Te repito que los avisos no son decisiones de un Community Manager sino de la Dirección de Prensa y Medios de Comunicación y que el idioma elegido es el adecuado para cada canal que se utiliza. Inglés o alemán se habrán utilizado en las radios, webs y prensa escrita local en esos idiomas en las islas, como se hace en Madrid, Málaga o Alicante. Sobre que un individuo sin entendederas ni empatía me llame ""dictatorial"" pues fíjate, a ti te llevan llamando cosas peores, y con razón, toda la vida, así que puerta fascista animal."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011082,26,3.0,Toponotomalasuerte,2023-08-08T21:32:06+00:00,1,11,"#3 jajajajajajjaja para ti es lo mismo??? En serio?? Te lo crees o piensas que alguien lo ve así??? Me intriga en serio. Jajajajajajajajjaja
Supongo q t refieres al GTAM (grupo terrorista armado maricón) que aterrorizó a pobres fachitas poniéndoles cobras gay y negros en la tele y se desintegraban como vampiros al ver esas cosas. 
Las cosas gay pa ti como la catequesis en el franquismo, solo para curas y obligando al muchacho q lo recibe, eso si es español. Jajajajajajja tío... Tas fatal."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39011023,25,22.0,aozora,2023-08-08T21:21:37+00:00,2,8,"#22 Considero que no, que nadie organiza sesiones de mostrar heterosexuales, pero yo asistí a un evento de ""mira cuantos homosexuales somos"" en mi empresa. No había ningún objetivo ahí, como no fuera ""lo tenemos que repetir otro día""."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39010953,24,21.0,Grahml,2023-08-08T21:09:24+00:00,2,16,"#21 Si de verdad ese mensaje  fuera a los turistas y no para los locales, para empezar deberían ponerlo en los idiomas a los que va dirigido, como inglés o alemán. Y con objeto de darle aún más difusión al mensaje (y llegar incluso al mismo tiempo a más turistas), hasta en castellano habría ayudado.

Eso sería una comunicación efectiva.

No obstante , tu autoritarismo dictatorial, ha quedado evidente. Se ve que el ""deje"" franquista lo llevas en vena."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39010918,23,9.0,Shuquel,2023-08-08T21:03:41+00:00,0,15,#9 Qué compromiso ideológico con la izquierda desde la cuentas oficiales de la policía local ha mostrado?
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39010873,22,17.0,letra,2023-08-08T20:56:43+00:00,4,40,"#17 Tienes un problema, o a lo mejor no, si sólo te fijas en que los homosexuales se hacen ver como tales, porque los heterosexuales nos hacemos ver como somos todo el tiempo y no causa ningún escándalo, así que debería de ser igual con cualquier orientación. Lo que pasa que hay mucho homosexual reprimido al que le molesta, ya tú sabes."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39010866,21,14.0,letra,2023-08-08T20:54:04+00:00,5,67,"#14 No, esos ""muchos ciudadanos"" tienen de ciudadanos lo que tú. La polémica era una excusa por el rechazo a lo del avatar con la bandera LGTBi. Y además, cuando desde las Fuerzas y Cuerpos de Seguridad del Estado se emite un aviso, por ejemplo de tráfico, éste no va dirigido "" a los residentes"" sino a cualquiera, turista o no, que vaya a coger el coche y por supuesto dar ese aviso no lo decide un community manager que además no se hace sólo desde las redes sociales sino a todos los medios, o sea se hace desde la Dirección de Prensa y Comunicación. Así que vete a envenenar a tu casa y si es posible quédate ahí para siempre."
lgtbi,https://www.meneame.net/story/pp-destituye-policia-local-palma-publico-bandera-lgtbi-redes-ha,3843307,39010846,20,13.0,letra,2023-08-08T20:50:28+00:00,1,20,"#13 Esos eran los de antes, que se pasaban el día en los puticlubs con los concejales de PP consumiendo cocaína y haciendo negocios..."
