tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20703558,46,44.0,--122466--,2016-11-15T12:11:12+00:00,1,2,"#44 ” No es erróneo, lo usa todo el mundo ”.

Argumentación de borrego donde las haya, casi te estoy oyendo balar desde aquí.   {lol}

¿Desde cuándo Google dicta norma lingüística alguna? Como mucho sirve para demostrar que hay más cenutrios xenófobos como tú, que no saben recordarse con propiedad."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20702582,45,5.0,WarDog77,2016-11-15T10:07:56+00:00,0,10,"#5 Tu si que eres ""ilegal"""
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20700977,44,43.0,Rarepepelarana,2016-11-14T22:42:21+00:00,1,16,"#43 No es erróneo. Lo usa todo el mundo. Gente corriente, políticos, escritores, periodistas. Eres tú el que no se entera de como se usa el español. Mírelo en google y a ver si se entera ya. Hasta otra porque es como hablar con una pared. No comprende."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20700875,43,42.0,--122466--,2016-11-14T22:25:41+00:00,0,11,"#42 Que tu padre o tu madre hayan tenido la necesidad de cruzar alguna frontera de forma irregular no significa que los demás también tengamos tus mismos traumas, chiquitín.

Por otra parte resulta descojonante que trates de autoconvencerte de que todo el mundo utiliza las mismas expresiones erróneas que utilizáis cuatro xenófobos de mierda. Cada vez que escribes algo como ”desde siempre” o ”el resto de personas” me pregunto en qué cueva vives, y luego me doy cuenta de que me la pela porque jamás la voy a visitar."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20700684,42,39.0,Rarepepelarana,2016-11-14T21:48:16+00:00,0,9,"#39 En absoluto he sido despectivo. Si usted se niega a usar la lengua españolas como el resto de personas y se enfoca en usarla mal, no va a sonar inteligente. Desde siempre se ha usado el término inmigrante ilegal. Acéptelo y deje de insultar. Extranjero ilegal e inmigrante ilegal son un español perfecto. Si usted se siente ofendido por ser o haber sido inmigrante ilegal no es mi problema. Acéptelo."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20699444,41,1.0,--324579--,2016-11-14T18:07:32+00:00,0,14,"#1 solo tiene una frontera, eso ayuda.
El Mediterráneo es más difícil de guardar.
Y si todavía sigue en pie el puente de Dardanelos que hizo Jerjes, más difícil evitar que entren en tromba."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20698820,40,,elgato79,2016-11-14T16:30:50+00:00,1,18,"En resumen USA tiene 2 vecinos, al norte uno rico con el que no tiene problemas y al sur uno no tan rico con el que tiene muchos problemas.
La UE no tiene basicamente vecinos ricos que no quieran colarse dentro de sus fronteras y es bastante mas extensas las fronteras por tierra.
Sin contar que la población de la UE va por los 740Millones y la de USA 325Millones.

Es un caso de sensacionalistos donde se hablar en numeros y no en % porque si no no hay noticia. (a veces prefieren hablar en % y no en numero porque tampoco en noticia."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20698755,39,38.0,--122466--,2016-11-14T16:21:42+00:00,1,21,"#38 ”Ilegal” sólo es un adjetivo aplicable a un ser humano si eres un xenófobo de mierda.

Ningún ser humano es ilegal, especialmente si te atienes a su procedencia y no a sus actos como hacéis los fascistas.

Y deja de lloriquear porque te respondo en tu mismo tono, cuando tú has sido despectivo y ofensivo desde el primer comentario que me has dirigido. Es criaturesco que exijas el respeto que tú no das."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20698470,38,37.0,Rarepepelarana,2016-11-14T15:46:36+00:00,0,9,"#37  Ilegal es un adjetivo perfectamente aplicable al ser humano, aparece en cualquier periódico y es de uso común, el problema es que no lo entiendas. La inmigración ilegal es un tema perfectamente aceptado y normal, que usted tenga problemas con el lenguaje no significa que el resto lo haga. Y guárdese el tono despectivo para otro."
inmigracion,https://www.meneame.net/story/yo-deporto-tu-deportas-ue-expulso-2015-mas-doble-inmigrantes,2696785,20698395,37,36.0,--122466--,2016-11-14T15:38:34+00:00,0,11,"#36 El lenguaje es social pero no xenófobo, melón. {lol} Que a ti te dé por llamar ”ilegales” a las personas no hace que ese adjetivo sea aplicable a un ser humano, sólo es una payasada xenófoba trasnochada.

Ilegal es un acto, no un ser vivo. ¿No te contaron eso en el colegio de lengua social?   {roll}

Los xenófobos siempre dais risa tratando de retorcer imposiblemente las cosas para intentar inútilmente adaptarlas a vuestros postulados paranoicos."
