tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27838555,34,24.0,ikatza,2019-09-19T12:44:15+00:00,1,15,"#24 Queremos putas, tranquilidad fuera."
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27838339,33,31.0,daaetur,2019-09-19T12:19:15+00:00,1,9,#31 Con que repasasen la gramática...
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27838268,32,2.0,driver0,2019-09-19T12:12:12+00:00,1,12,"#2 Odio cuando escriben con esa separación, me cuesta leer horrores"
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27838032,31,24.0,millanin,2019-09-19T11:47:46+00:00,2,16,#24 Los cursillos de edición deberían ser obligatorios en la EGB:
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27836338,30,29.0,BubblySnowflake,2019-09-19T08:40:29+00:00,1,13,"#29 Bien dejado. Por muy evidente que sea la broma, siempre hay quién lo lee en serio. Relájate un rato."
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27836141,29,9.0,Tsubasa.Akai,2019-09-19T08:14:49+00:00,0,7,#9 Nada impide que un heterosexual sea corrupto. Ahí lo dejo.
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27835658,28,,baraja,2019-09-19T07:21:17+00:00,3,38,"Curso de ética periodística:

cuando entrecomillas algo significa que se ha expresado de esa misma forma, palabra por palabra.

El cartelito pide erradicar el ""lobby homosexual"", no a ""erradicar a los homosexuales"".

Querer erradicar a la iglesia católica no es lo mismo que querer erradicar a los cristianos, como tampoco querer erradicar el sionismo es querer erradicar a los judíos.

No sé qué les enseñan en la Facultad de Periodismo, pero a escribir ya se ve que no."
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27835056,27,4.0,RamonMercader,2019-09-19T05:43:34+00:00,1,19,"#4 8h de odio, 8h de ocio y 8h de descanso. No hay tiempo para estudiar"
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27834723,26,6.0,Mysanthropus,2019-09-18T23:27:58+00:00,2,42,#6 Homoxesual... {grin} {grin} {grin}
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27833783,25,2.0,suzudo,2019-09-18T20:00:18+00:00,0,6,"#2 HY gente que se tiene tan creído qje las simples.estelas de.condensació. de los.aviones de.pasajeros son fumigaciomes tóxicas globales (el tipo.de comspiración que sirve para medir el CI de la.gente al.menos un límite) que le produce tanto.odio que he leído el.defender disparar misiles aire.tierra a los.aviones.

Detrás de odios.como.este hay una gran idiotez.mental que la.persona intenta salvar o.taponar a base de odio"
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27833284,24,20.0,daaetur,2019-09-18T18:45:55+00:00,3,23,"#20 Don't dead, open inside."
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27833053,23,2.0,parrita710,2019-09-18T18:06:17+00:00,0,10,#2 Bueno todos los que hayan estado en Granada saben que son los de Hogar Social. Los putos nazis que tienen su base cerca del palacio de congresos.
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27832858,22,19.0,Lekuar,2019-09-18T17:34:45+00:00,0,7,"#19 ""homínido 1.0 a civilizado 5.0"" {lol} {lol} {lol} {lol} {lol} {lol} {lol}"
lgtbi,https://www.meneame.net/story/denuncian-aparicion-carteles-llaman-erradicar-homosexuales,3184886,27832787,21,20.0,--516568--,2019-09-18T17:21:34+00:00,0,11,#20 {lol}
