tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16724446,91,79.0,pipistrellum,2015-04-23T13:24:38+00:00,1,23,"#79 En la expo paso parecido. Acabo de encontrar lo motivos para que no pusiesen lastre suficiente. Esos barcos sin lastre vuelcan. cuando no llevan carga, los cargaban con piedras para que hagan de tentetieso.

http://hemeroteca.abc.es/nav/Navigate.exe/hemeroteca/madrid/abc/1991/11/23/045.html
https://www.youtube.com/watch?v=wK1G7hnIB7A"
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16718745,90,89.0,auroraboreal,2015-04-22T16:40:30+00:00,1,17,"#89 Lo que es deshonesto y una falta de respeto a las víctimas y a todos los que se ven obligados a hacer cosas como éstas es hablar de si saben o no nadar, si saben o no qué es el mar o cómo funciona un barco cuando se han muerto por que el barco sobrecargado ilegal en el que viajaban se ha hundido mientras muchos de los que iban en él estaban encerrados en la bodega (PD: con tu gran cultura del primer mundo, ¿Qué parte de ""encerrados"" no entiendes? ¿de qué te sirve nadar si estás encerrado?

Tú has dicho esto (copio y pego, no interpreto nada): Sé que muchos inmigrantes que llegan en patera y ésta naufraga mueren por algo tan sencillo y terrible como que no saben nadar y en pocos minutos se hunden. En este caso no importa saber o no nadar. Importa estar encerrado con 800 personas en un barco de 20 m de eslora. 

La gran diferencia entre esa gente y tú y yo es que 
--a nosotros no hay ahora mismo nada que nos obligue a meternos en un barco de 20m. con 800 personas más 
--y si hay algo que obliga a esas personas a hacerlo día tras día.

Por cierto, al capitán del barco le han acusado de secuestro también, precisamente por la gente que iba encerrada en la bodega y que no pudo salir , aunque supieran nadar:
http://www.noticiasmundofox.com/noticias/acusan-de-secuestro-al-capitan-del-barco-de-migrantes-que-se-hundio-en-el-mediterraneo

Igualmente, que pases un buen día. Yo tampoco quiero seguir perdiendo el tiempo contigo."
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16715519,89,88.0,azenbugranto,2015-04-22T10:04:19+00:00,0,10,"#88 ¿La gente que no sabe nadar ""suele ser pobre y miserable""? He leído hasta aquí. Vuelves a poner en mi boca cosas que yo no he dicho. No sigo perdiendo el tiempo debatiendo con gente poco honesta como tú que no respeta las normas básicas de un debate.

Que pases un buen día."
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16713416,88,84.0,auroraboreal,2015-04-21T22:34:48+00:00,2,35,"#84 Ya:
En Inglaterra hay más de 9 millones de personas que no saben nadar (publicado el 9 de abril de 2015). No encuentro una estadística actual de España, pero no creo que sea muy diferente a la de Inglaterra. ¿La gente que no sabe nadar ""suele ser pobre y miserable""? . Bueno, no sé, por ejemplo, Umbral tenía piscina y no sabía nadar. 

Por otra parte, cada año, en un país con el nuestro (que sí que tenemos el mar al lado y, según tú, sabemos nadar) mueren muchas personas ahogadas, sobre todo hombres, por su ""creencia de dominio acuático"": un 63% de los adultos ha perdido la vida en el mar, frente al 18% que ha fallecido ahogado en piscinas. Entre los numerosos factores que influyen en este tipo de accidentes se cuentan la edad y el sexo. ""Los hombres tienen un índice de ahogamiento superior al de las mujeres debido, básicamente, a dos razones: personalidad y la creencia de dominio acuático"", explica Pascual. http://www.elmundo.es/grafico/espana/2014/09/06/54059a89e2704e09118b4579.html
http://blogs.lavozdegalicia.es/socorrismo/2012/10/05/demasiadas-muertes-por-ahogamiento-en-espana-es-indigno-es-injusto-y-es-vergonzoso-que-hayan-muerto-186-personas-en-este-verano/

Tiene muy poco que ver que la gente sepa nadar o que sepa que existe algo que se llama ""mar"" o no para que se salven de un naufragio en alta mar. La mayoría de la población no sabe nadar lo suficiente para sobrevivir a un naufragio en el mar... Los que se salvan, suelen hacerlo por los planes y medios de rescate que existen en los barcos que cumplen la legalidad. 

Y, aunque supieran nadar, en este caso, repito, no les hubiera servido de nada si no podían salir de donde estaban (encerrados en la bodega del barco).
http://radiomontecarlo.com.uy/2015/04/21/internacionales/europa/fiscalia-acusa-al-capitan-del-barco-por-tragedia-en-el-mediterraneo/

Estas personas han muerto para que otros sigan haciendo un buen negocio:
http://www.bbc.co.uk/mundo/noticias/2015/04/150420_mediterraneo_traficantes_migrantes_az"
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16713249,87,85.0,auroraboreal,2015-04-21T21:59:33+00:00,1,25,"#85 Sí, y como siempre que están implicados tan altos personales, nunca se encontró al/ a los culpables. ¡Qué casualidad, cómo se repite la historia!..."
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16707537,86,59.0,Res_cogitans,2015-04-21T08:37:18+00:00,0,7,#59 #78 En ningún momento he defendido nada de eso. Me he limitado a señalar una de las contradicciones internas del liberalismo.
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16706662,85,79.0,--13404--,2015-04-21T02:00:32+00:00,2,39,"#79 impresionante historia la de un rey metido a ingeniero para fastidiarla, claro {lol} {lol}"
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16706393,84,83.0,azenbugranto,2015-04-20T23:10:30+00:00,0,10,"#83 ¿en qué se cumple? ¿qué cultura especial hay que tener cuando uno se monta en un barco? Ese es el punto: ninguna. Ninguna desde tu punto de vista (y el mío). Estamos tan acostumbrados a un montón de aspectos de la vida cotidiana que nos parece que son universales y no tienen nada de especial.

Pero en entornos muy distintos al tuyo y al mío te sorprenderías de cuánta gente, por ejemplo, no sabe que existe siquiera el mar. Y esa gente suele ser también pobre y miserable.

En nuestro primer mundo lo normal es aprender a nadar, incluso si vives en el interior; e incluso si no tienes ninguna querencia por el agua. En los países de donde surge esa inmigración desesperada la situación es totalmente inversa. Aprender a nadar también es cultura la cual surge, entre otras razones, porque puede hacerlo, porque las necesidades básicas están cubiertas, porque tenemos tiempo y recursos para dedicarlos a algo tan aparentemente frívolo como aprender a nadar, a aprender cómo funciona una embarcación, a aprender qué es y cómo se comporta el mar.

No digo que sea determinante esa falta de cultura en este accidente. No sé los detalles. Sé que muchos inmigrantes que llegan en patera y ésta naufraga mueren por algo tan sencillo y terrible como que no saben nadar y en pocos minutos se hunden. Minutos preciosos para que llegue la asistencia y que si hubieran conseguido mantenerse a flote se hubieran salvado.

No sé si me explico ahora."
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16705956,83,82.0,auroraboreal,2015-04-20T21:25:05+00:00,1,25,"#82 Sólo reflexionaba que lamentablemente se cumple la correlación entre miseria e incultura. ¿en qué se cumple? ¿qué cultura especial hay que tener cuando uno se monta en un barco?
Los marineros que se montaron en le Wasa eran tripulación del barco, marineros contratados para trabajar en el barco y se movieron todos hacia el mismo lado para saludar a sus familiares que les miraban desde el paseo (que, si has estado en Estocolmo, sabrás que queda solo hacia un lado. Los barcos deben poder soportar eso). Además, vino una ráfaga de aire, además había una fila más de cañones, además... 
El barco se hundió en su viaje inaugural. Pero la historia no le ha echado la culpa a esos que se movieron en el barco, apenas se comenta ese hecho. La historia ha reconocido que era, simplemente, un barco mal hecho (mal hecho por los que sabían de barcos en aquella época {wink}  )  : 
http://www.modelismonaval.com/vasa/historia.html

Y recuerdo, por si muchos no lo habéis leído, que muchas de esas personas estaban encerradas . 
Me da igual tu negativo: si alguien leyera un comentario mío e interpretara que pienso que los que viajaban en esas condiciones son culpables de lo que pasó me preguntaría qué he puesto para que lo entiendan así. Pues mira, tú has puesto esto: ...sino que también tienen muy poca formación en cosas que a nosotros nos parecen básicas. ¿en qué les faltan conocimientos? ¿qué conocimientos hay que tener para que, encerrado puedas hacer algo para impedir que no naufrague un barco que se supone que ha hecho pruebas de estabilidad y está hecho para no naufragar? 
No me digas que deberían haberse quedado quietos y haber sabido que no se tienen que mover todos para el mismo sitio cuando están viendo que el barco tiene problemas y ven un barco acercarse que les puede ayudar. ¿Tú no hubieras intentado pedir ayuda?  {sad}
¿Qué conocimientos básicos les faltaban en esas condiciones?"
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16705884,82,80.0,azenbugranto,2015-04-20T21:12:41+00:00,0,10,"#80 Toma ya: acabas de poner en mi boca que las víctimas son culpables de que el barco se hundiera. Permíteme ponerte un negativo por ofenderme de esa forma.

Ya me resultaba raro que no saliera el típico comentario que lee superficialmente el mensaje y extrae conclusiones aceleradas (y erróneas).

Claro que no son culpables. Sólo reflexionaba que lamentablemente se cumple la correlación entre miseria e incultura."
inmigracion,https://www.meneame.net/story/naufraga-barco-700-inmigrantes-190-kilometros-lampedusa-segun,2393519,16705765,81,79.0,auroraboreal,2015-04-20T20:49:55+00:00,2,39,"#79  Y por cierto, aclaro lo de ""encerrada"", porque hoy escuché a uno de los supervivientes hablar en la radio y se me encogió el corazón (no sé si será éste, pero contaba algo similar): Este superviviente relató además que la mayoría de los ocupantes fueron encerrados en los compartimentos más bajos del barco por los traficantes, lo que habría impedido su huida en el momento del naufragio. http://www.infolibre.es/noticias/mundo/2015/04/19/naufraga_barco_con_700_inmigrantes_190_kilometros_lampedusa_31560_1022.html


950 personas en un barco de unos 20m de eslora. Un barco de unos 20m de eslora ¿cuántas personas tiene permitido transportar? {sad}"
