tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19112057,12,7.0,--74648--,2016-03-23T10:32:38+00:00,0,11,"#7 yo soy ateo y repudio las religiones por igual, no se que dices de cristianismo. Si todo el mundo fuera ateo que bien estaría este mundo."
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19110442,11,2.0,alfgpl,2016-03-23T02:59:43+00:00,0,10,"#2 Jordanía acogía ya en 2013 a medio millón de refugiados. Que verguenza que la enorme, rica y racista Europa sea incapaz de acoger a 1 millón mientras se leen mentiras como las tuyas."
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108614,10,2.0,--499519--,2016-03-22T19:15:34+00:00,0,7,"#2 Saben los españoles cuantos refugiados han querido venir a España? Saben cuantos hay? Saben que se niegan a venir? Creo que no. Tenemos que acoger 14.000, slo han querido venir unos 20."
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108359,9,8.0,Kantinero,2016-03-22T18:35:39+00:00,1,31,"#8 Mentira, tu lo que eres es un Caramierder"
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108349,8,7.0,Caramierder,2016-03-22T18:34:31+00:00,0,20,#7 Yo no soy cristiano. Soy un agnóstico feliz a mí no me mires.
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108339,7,6.0,Kantinero,2016-03-22T18:32:42+00:00,0,11,#6  #5 Acabais de convencer a miles de pobres refugiados que huyen de los asesinos del Isis para ser repudiados por Europa y por gente como vosotros para abandonar el Islam y adoptar vuestra forma de cristianismo...
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108074,6,,--74648--,2016-03-22T17:51:16+00:00,1,0,Estaba tardando elpanfleto.es en sacar su contrapropaganda despues de la masacre de hoy siguiendo las ordenes de sus amos progregetas.
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108020,5,,Caramierder,2016-03-22T17:43:28+00:00,1,9,Los que fomentáis la entrada de gente de forma descontrolada sí que sois vistos como traidores por vuestros propios compatriotas. Tenedlo en cuenta... para cuando salgan Pegidas españoles que no os suene raro.
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19108003,4,2.0,--499075--,2016-03-22T17:41:40+00:00,9,71,#2 Qué raro que busquen refugio en democracias como Alemania y no en dictaduras tercermundistas como Jordania e Irán. Seguro que traman algo.
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19107995,3,2.0,granuja,2016-03-22T17:40:49+00:00,0,8,#2 Buscan acostarse con nuestras mujeres y robarnos nuestras tierras.
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19107924,2,,jamaicano,2016-03-22T17:28:32+00:00,10,44,"Los cientos de miles de personas que buscan refugio en algún lugar de Europa Erronea o sensacionalista, no buscan un lugar cualquiera... buscan Alemania, y no buscan refugio, por que ya lo encuentran en Turquía, Jordania, Irán...etc"
inmigracion,https://www.meneame.net/story/refugiados-senalados-como-enemigos-traidores-isis,2586017,19107831,1,,PADMadrid_1,2016-03-22T17:11:56+00:00,0,6,La UE debería reaccionar abriendo las fronteras a toda esta gente. Pero no quieren o no se atreven.
