tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39789645,14,13.0,--59837--,2023-12-03T23:11:18+00:00,0,10,"#13 ¿ficción jurídica? Esto qué es.

Estoy diciendo, claramente, que en Rusia no se está prohibiendo ningún movimiento, precisamente porque no se puede prohibir ""algo"" que no tiene entidad jurídica.

Pues si no hablabas de España, sé consciente de que has replicado un comentario (el mío) sí lo hacía ""Ahora bien, a mi me parecen bastante cansinos, en España ,...""

Ahora bien, si con tu último comentario quieres darme a entender que coincides conmigo en cuanto a que en España no hay más que casos aislados de homofobia y que tampoco cabe reivindicar ninguna falta de derechos, porque los gays tienen exactamente los mismos que el resto de la población (excepto para encontrar empleo que se les da prioridad: https://www.marca.com/tiramillas/actualidad/2023/03/06/640629e622601db6628b45ed.html o las  mujeres trans que gozan de las muchas ventajas legislativas de ser mujer), pues perfecto. Yo también te doy la razón en que hay países en el mundo en que no es así. Al Igual que tampoco viven en democracia.

Lo lamentable es que esos países más bien son blanqueados por el Ministerio de Igualdad."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39789462,13,12.0,Noctuar,2023-12-03T22:30:49+00:00,0,10,"#12 No estoy hablando legalmente. Hablo de lo que existe en la realidad más allá de la ficción jurídica. Las leyes pueden prohibir toda clase de acciones sin necesidad de que estén reglados.

Tampoco estoy hablando particularmente de España. De hecho, la noticia habla de Rusia. En todo caso, el reconocimiento y respeto a los derechos no depende sólo de lo que diga la legislación sino del contexto social y material en el que vivimos. 

En España hay homofobia pero eso no quiere decir que sea un país de homófobos. Estás cometiendo una falacia al tomar una parte por el todo y es tu comentario el que cae en el absurdo."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39773963,12,11.0,--59837--,2023-11-30T22:53:12+00:00,0,9,"#11 un movimiento social es abstracto legalmente hablando, dado que no tiene personalidad jurídica, ni derechos ni obligaciones.  Es por ello que ninguna legislación puede restringirlo, al no estar reglado. Son las personas físicas y jurídicas las que tienes que cumplir los requisitos legales que se les impongan.

Pero, en este punto, estamos hablando de España. Así que te repito la pregunta, ¿qué derechos reivindican aquí que les falten?

De nuevo, hablamos de España. Aquí no hay homofobia, excepto claro está si te refieres a la completa erradicación de la posible casuística. Cosa que sería el equivalente a decir que España es un país de asesinos porque se cometen X homicidios al año. Por lo que, obviamente, utilizar ese argumento resultaría totalmente absurdo."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39773128,11,9.0,Noctuar,2023-11-30T20:01:59+00:00,1,17,"#9 Un movimiento social no es un ente abstracto, son hombres y mujeres de carne y hueso. Por supuesto que un movimientos ciual puede ser prohibido. Acabas de ver un ejemplo en Rusia ¿no lees las publicaciones en las que comentas?

En muchos países no es legal el matrimonio igualitario y la homosexualidad es perseguida como delito. En países donde se ha conseguido cierto progreso social hay grupos que pretenden revertir ese progreso ¿No sabes en qué mundo vives?

La verdadera igualdad no puede existir en un mundo donde existe la homofobia y la persecución de las personas por su orientación sexual. Lo que está de sobra son los prejuicios heterosexistas y la violencia que estos promueven."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39772581,10,,--709885--,2023-11-30T18:24:31+00:00,2,29,La tripillas votando negativo aver si se oculta la noticia. Son un meme {lol} {lol} {lol}
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39772393,9,8.0,--59837--,2023-11-30T17:56:43+00:00,1,22,"#8 los movimientos (que es un ente abstracto) no se prohíben, se deniegan los actos que requieran autorización.

El matrimonio es legal hace años y el delito siempre ha estado castigado. ¿Qué derechos continúan reivindicando pues?

Todas las noticias sobre homofobia, los discursos políticos, los cupos de representación, etc. Todo eso está de sobra. No tiene que existir un discurso específico por la orientación sexual de las personas, simplemente. Esa es la verdadera igualdad y no otra."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39772295,8,5.0,Noctuar,2023-11-30T17:36:29+00:00,1,17,"#5 Prohibir un movimiento social de justicia no es 'excesivo' sino criminal.

Legalizar el matrimonio igualitario y perseguir penalmente las agresiones homófobas no es discriminación positiva sino que es proteger los derechos de las personas.

Los medios y las instituciones van a colapsar por poner una bandera arcoiris en un balcón, claro."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39772121,7,,Enésimo_strike,2023-11-30T17:08:32+00:00,3,44,"Cosas del nacional ortodoxismo de Putin. 

Muy fan del voto “antigua” de @elenatripillas , noticia de 30 de noviembre de 2023 14:26h , ni cinco horas tiene. {lol}"
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39771976,6,,StuartMcNight,2023-11-30T16:42:14+00:00,0,11,"#_5 Vamos, que al igual que Rusia prefieres que los gays se queden calladitos en su casa pero sabes que hablar de prohibirlos destruiria todo el supuesto discurso objetivo que intentas vender.

Edit: Segun la meneaetiqueta de Stuart: Me impides responderte abusando del ignore te casco negativo que no te iba a poner porque es la unica forma que me dejas de comunicarme contigo."
lgtbi,https://www.meneame.net/story/tribunal-supremo-rusia-declara-extremista-prohibe-movimiento,3882043,39771419,5,,--59837--,2023-11-30T15:06:57+00:00,4,6,"Prohibir me parece excesivo. 

Ahora bien, a mi me parecen bastante cansinos, en España, todos estos movimientos que reivindican no sé qué supuesta falta de derechos, con el único fin de conseguir discriminación positiva legal. Es decir, con un fin antagónico a la igualdad. 

Y me resultan cansinos no por sus exigencias, al fin y al cabo todo el mundo pide para sí (lo cual me parece simplemente egoísta e injusto), sino porque colapsan medios e instituciones. Hasta se ponen negros cuando un ayuntamiento no quiere colgar su banderita en la fachada."
