tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38593204,33,32.0,Barriales,2023-06-11T19:35:57+00:00,0,7,#32 ahora están crecidos.
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38593006,32,28.0,--699742--,2023-06-11T19:10:20+00:00,0,10,"#28 sí, antes incluso había más homofobia que ahora"
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38592949,31,30.0,Mark_,2023-06-11T19:02:03+00:00,0,11,"#30 si bueno, ver a señores con más pelos en los huevos que una alfombra de las antiguas quejándose de que la Sirenita es negra porque ""es imposición"", ""es woke"" y demás no sólo me da risa, sino pena. Porque vamos a ver...como Humanidad llevamos siglos haciendo versiones de historia sobre historia. La mismísima Biblia es una versión de tradiciones de pueblos más antiguos cambiando nombres y lugares, y aún así cada versión nunca anula la siguiente, no la suprime: si no te gusta no la ves y se acabó. Los niños del futuro tendrán más versiones para ver y tendrán más fácil elegir qué historia les gusta más. 

Porque yo me he criado pensando que tenía que ser sirenita o princesa para atraer un príncipe y resulta que no, que puedes atraer un príncipe...de otras formas {lol}

Ojalá hubiese habido tanta variedad de versiones de historias como las hay ahora. Me alegro infinitamente por los críos, tendrán esos primeros amores a su gusto que muchos nunca tuvimos justamente por no ser normales, es decir, que nunca fueron inclusivos."
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38592928,30,29.0,Pablosky,2023-06-11T18:58:19+00:00,1,25,"#29 El guión de Alien, de 1979, una vez que se confirmó que el personaje de Ripley iba a ser una mujer, te dirían hoy que es una mierda Woke {lol}

La escena de Leia salvando a los que iban a rescatarla en Star Wars de 1977 te dirían hoy que es una chorrada Woke."
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38592910,29,24.0,Mark_,2023-06-11T18:55:23+00:00,1,25,"#24 #20 el mismo miedo que han tenido (los de siempre) a que las mujeres amasen de forma libre, o votaran, o no estuvieran bajo su mando. Su miedo es perder el control de algo que tenían bajo sus normas (hombre con mujer, si soy ese hombre mejor) y todo lo que no sea eso es malo, raro y perjudicial aunque haya existido desde el principios de los tiempos. 

Curiosamente en según qué épocas se ha tolerado bastante mejor que ahora; mi bisabuela, nacida en el 12, casada con un falangista, tenía a dos pedazo de maricones como ayudantes en casa que se ganaban unas perras ayudando a las vecinas a subir y bajar mantas, a sacudir alfombras y tapizar sofás. Los maridos tranquilos porque ""no eran hombres"", las mujeres contentas porque tenían a un hombre en casa al fin y al cabo. 

Eso me lo contaba mi bisabuela con una calma tremenda. Hoy día parece raro, o te dirán que es una historia ""inclusiva"" o ""woke""."
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38592865,28,27.0,Barriales,2023-06-11T18:46:48+00:00,0,7,#27 antes?
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38592663,27,1.0,--699742--,2023-06-11T18:11:40+00:00,0,10,#1 antes era incluso peor
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38591519,26,6.0,mcfgdbbn3,2023-06-11T14:52:54+00:00,0,13,"#6: En el WhatsApp ponía que fueran ahí y abuchearan, se limitaron a obedecer. {tongue}"
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38591253,25,21.0,Pilar_F.C.,2023-06-11T14:12:21+00:00,0,16,"#21  Cuando hablen de adaptaciones que no vayan,“Ya tenemos bastantes maricones en la tele”es por eso"
lgtbi,https://www.meneame.net/story/insolita-escena-teatro-maestranza-parte-publico-abuchea-escena,3822633,38591157,24,20.0,Pablosky,2023-06-11T13:47:55+00:00,1,25,"#20 Pues creo que tenemos cientos de miles de casos a lo largo de la historia de gente que se ha opuesto al amor consentido entre dos adultos, sean heterosexuales, homosexuales o lo que les de la gana.

A la gente le encanta meterse donde no les llaman, así en resumen."
