tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38856163,214,213.0,malajaita,2023-07-17T16:20:20+00:00,0,7,#213 Igualmente {smiley}
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38856158,213,212.0,amoreno.carlos,2023-07-17T16:18:57+00:00,0,9,"#212 Nada hombre, tenga un buen día señor {smiley}"
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38856016,212,211.0,malajaita,2023-07-17T15:53:31+00:00,0,7,"#211 Es que si ninguno va a bajar del burro no vale la pena seguir dándole vueltas.
Y tiene usted toda la razón he sido muy condescendiente, le pido disculpas."
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38855995,211,210.0,amoreno.carlos,2023-07-17T15:48:14+00:00,0,9,#210 No me de usted la razón como a los tontos {popcorn}
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38855931,210,209.0,malajaita,2023-07-17T15:37:46+00:00,0,7,"#209 Si te empeñas, pues eso, para tí el duro..."
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38855882,209,208.0,amoreno.carlos,2023-07-17T15:30:03+00:00,0,9,"#208 Sería coyuntural si el colectivo LGTBI no fuera un colectivo luchando por obtener los mismos derechos que cualquier otra persona. No sé si me entiendes... Lo normal, es que siga habiendo ataques a personas de este colectivo, como siempre ha ocurrido. Es decir, es estructural."
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38855803,208,207.0,malajaita,2023-07-17T15:16:32+00:00,0,7,"#207 Si hubieras leido mi primer mensaje en vez de empecinarte, habrías visto que puse que me parece que, algunos partidos, lo quieran instituciaonalizar.
Resumiendo, tu mismo lo dices, noticias de concejales quitando banderas, eso lo convierte en un problema coyuntural y no estructural."
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38855481,207,202.0,amoreno.carlos,2023-07-17T14:34:47+00:00,0,9,"#202 Resumiendo, no hay noticias de concejales quitando banderas de hetero. 
Debes estar ciego, yo no."
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38850238,206,205.0,--758108--,2023-07-16T20:05:25+00:00,0,6,#205 solo me pregunto por qué se llama teoría y no ley.
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38849124,205,195.0,--699475--,2023-07-16T17:01:35+00:00,0,6,"#195 Hay mogollón de literatura  sobre la evolución de muy fácil acceso. Si dispones de papers sobre el tema que nos concierne te agradecería que me los facilitaras, desafortunadamente no he visto, quizás por no haber dedicado tiempo suficiente o no prestar suficiente atención."
lgtbi,https://www.meneame.net/story/han-gritado-maricon-mierda-concejal-soria-responde-intento-vox,3834532,38849086,204,194.0,--699475--,2023-07-16T16:54:31+00:00,0,6,"#194 También puedes argumentar una respuesta si no estás de acuerdo con mi opinión, sería algo constructivo para mi y otras personas. Un punto de vista diferente siempre es bienvenido."
