tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38763980,33,,Findopan,2023-07-04T14:57:40+00:00,0,7,"El debate no es si alguien debería poder ser selectivo en lo que a sus clientes se refiere, el debate es si resulta aceptable que una persona pueda discriminar a otra por su condición, sea cual sea y en cualquier circunstancia, aunque sea un servicio no esencial. A donde nos lleva esto es a organizar la sociedad en grupos cerrados de personas que se separan entre si por su condición y eso es segregación. Ya ha existido la segregacion y los resultados fueron terribles. Hoy es una web, mañana es un bar, pasado una tienda de ropa y al otro un colegio ¿Y no puedes mandar a tus hijos a otro colegio? Tienes muchas opciones, este colegio es solo para heteros o para blancos o para católicos. 

Si crees que esto se va a quedar ahí, que esta señora es un lobo solitario y que la cosa no ira a mayores, entonces entiendo que pienses así porque en ese caso no sería tan grave. Pero yo creo que esta señora es la avanzadilla de un sector de la sociedad que pretende volver a tiempos más oscuros mediante técnicas de manipulación y engaño, al menos mientras no tengan el poder de hacerlo por la fuerza. Y lo veo muy peligroso, porque creo que se aprovechan de la buena voluntad de personas que no pueden imaginar que alguien pueda ser tan mezquino e insidioso.

Que en esa línea, lo que dicen los medios de USA es que el caso ni siquiera era real, la persona que supuestamente le había pedido ese servicio no existe."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38763675,32,1.0,GarBo,2023-07-04T14:10:13+00:00,0,6,"#1 No te veo defendiendo ""derechos humanos"" cuando se trata de la vulneración a la presunción de inocencia de la LIVG.

Tampoco porque en un restaurante o bar se nieguen a servir a alguien por pertenecer a cierto partido.

Puño de hierro, mandíbula de cristal."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38763546,31,30.0,NeSilento,2023-07-04T13:54:10+00:00,0,10,"#30 Yo entiendo lo que dices y estoy de acuerdo en general. Pero para cierto tipo de servicios, como que te hagan una web para la boda no, primero porque es un capricho que puedes contratar en cualquier sitio, literalmente, y segundo porque en un asunto tan personal, tanto como el contratado, como el contratante tienen que tener comunicación, entendimiento y sentirse cómodos. Si hay barreras de algún tipo no van a tener el servicio que buscan, por lo tanto, en este caso, en realidad, no quieren contratar a esa persona. Si creen que el entendimiento y sentirse cómodo no es importante, más razón todavía para hacerse ellos mismos una web cutre.

Por otro lado. Igual que digo eso. También digo que si la diseñadora ha sido tan torpe de dar a conocer sus motivos o dejar que se descubrieran y los discriminados pueden demostrarlo, se dice públicamente, ojo, sin atacar, simplemente diciendo lo que hay. Y luego que cada uno acepte las consecuencias de sus decisiones.

Yo estoy muy de acuerdo en que en una tienda, en un restaurante, en un parque de atracciones y sitios que están abiertos literalmente a todo el público y que al dueño y a los empleados no les supone ninguna diferencia tratar a la gente independientemente de si son una cosa u otra porque nadie se mete en la vida de nadie, haya obligación de admitir a todo el mundo (siempre que cumpla las normas que entren dentro de la legal), pero en esto concreto te tienes que meter en la vida personal de la gente, entrando en detalles que a muchos le van a resultar demasiado íntimos. OJO, que te veo venir, estoy hablando del caso de un capricho, no de derechos humanos como la salud, que por descontado si un médico tiene problema en atender a un homosexual, ese señor no puede tener licencia para ejercer. Así de simple."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38762956,30,28.0,Findopan,2023-07-04T12:44:01+00:00,0,7,"#28 No es hacer una web, es permitir la segregación. El derecho de admisión no puede utilizarse como herramienta de discriminación, una persona homosexual no puede tener miedo de contratar un servicio por si le dicen ""gays aquí no"", tener los mismos derechos y libertades de los demás implica tener exactamente los mismos derechos y libertades de los demás, no temer que te expulsen cada vez que contratas un servicio o entras en un negocio.

Esto es abrir la puerta a legalizar la discriminación."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38762354,29,10.0,NeSilento,2023-07-04T11:43:12+00:00,0,10,"#10 Además es todo un sinsentido porque, al final, puede poner precios disuasorios de forma totalmente arbitraria para evitar hacer el máximo número de trabajos que no quiere hacer. Tener una web para tu boda no es una necesidad. De hecho, tener una celebración de boda con lo que puede llegar a implicar tampoco lo es. Casarse puede ser una cosa bastante sencilla y sin relacińo con sentimientos románticos."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38762318,28,4.0,NeSilento,2023-07-04T11:37:53+00:00,0,10,"#4 Es que además no les está perjudicando, no es la única persona que diseña webs y además, hoy en día, si eres capaz de hacer un documento de word, eres capaz de hacer una web. Puede que incluso sea más fácil hacer una web porque con un navegador gratuito es suficiente y word es de pago y, sin haber mucha diferencia, algo más engorroso que Wordpress (desde mi punto de vista). Más aún tener una página web para tu boda está lejos de las cosas que tienen ser consideradas derechos humanos.

No conozco el caso y no me interesa lo suficiente para indagar, pero puedo entender que la denuncien por homofobia si la homofobia es ilegal. No entiendo que la denuncien por no querer hacer la web y por qué quieren que se la haga una homófoba."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38762120,27,17.0,Ratoncolorao,2023-07-04T11:06:27+00:00,1,9,"#17 Lloro pero de la risa.
Tus neuronas también son falsas y aquí andamos, dándote bola
Y ahora ponme un negativo más mientras te amparas en la libertad de expersión, que se ha visto claro de que pie cojeas por mucho que te refugies en los derechos humanos."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38761879,26,1.0,Lectorio,2023-07-04T10:37:15+00:00,0,6,"#1 Tener una web no es un derecho humano. (Me parece igual de asqueroso que a ti lo que hacen, pero no les están negando un derecho humano, mientras que forzar a alguien a hacerlo sí los infringiría)."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38761552,25,,Ramen,2023-07-04T10:11:04+00:00,1,18,"Lo más chungo de todo esto es que la denuncia de la diseñadora es falsa: la persona denunciada en base a lo cual se fundamenta toda la sentencia es un hombre heterosexual que lleva años casado y que no conoce a la denunciante de nada. 

Es decir, se han inventado una denuncia, han hecho un juicio en base a tal denuncia y han provocado la legalización en todo el país de la exclusión por motivos ideológicos en base a mentiras. Ahora cualquier comercio puede prohibir el acceso a negros, latinos, chinos, homosexuales, personas con RH+, fans de Madonna o lo que hostias quieran."
lgtbi,https://www.meneame.net/story/supremo-ee-uu-respalda-disenadora-rechaza-hacer-webs-bodas-entre,3831143,38761252,24,19.0,kumo,2023-07-04T09:38:11+00:00,0,11,"#19 No, no me lo parece. De hecho te diría que a priori es racismo. Pero date cuenta que yo estoy criticando algo totalmente diferente en el comentario que citas.

Lo que tenga o no que ver (imagino que puede ser por el otro artículo que cito) o porqué han fallado así se lo tendrás que preguntar al tribunal."
