tema,url_meneame,id_noticia_meneame,id_comentario,numero_comentario,responde_a_numero,usuario,fecha_comentario_utc,votos,karma,texto
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18778613,39,5.0,sebiyorum,2016-02-06T11:22:08+00:00,1,17,#5 y Yo soy perro flautero buenísta y también lo veia venir. Pero lo de friki me ha dolido.
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18778404,38,1.0,WarDog77,2016-02-06T10:54:22+00:00,1,21,"#1 Ya, y entre los ciudadanos españoles hay terroristas y no por eso criminalizas o discriminas a toda la población"
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18778079,37,20.0,Ovidio,2016-02-06T10:05:23+00:00,0,10,"#20 Coño, un gallego. Debes ser el que estaba en la luna, que has bajado el fin de semana, ¿no?"
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18778068,36,35.0,--359887--,2016-02-06T10:04:10+00:00,0,6,#35 Tampoco estoy diciendo eso
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18778063,35,33.0,Ovidio,2016-02-06T10:03:29+00:00,0,10,"#33 No, pero lo que no se puede permitir de ninguna manera es que entren alegremente, sin ningún tipo de control"
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18777177,34,,Premutos73,2016-02-06T04:25:29+00:00,0,10,"Esto es como las bolsas de legumbres, Siempre en todas ellas hay una piedra. No se nota mucho pero como no te des cuenta y la termines mordiendo te jode que no veas."
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18777036,33,1.0,--359887--,2016-02-06T02:19:38+00:00,0,5,#1 Digerirlo se digiere; es perfectamente plausible. ¿Significa eso que tenemos que dejar a los refugiados muriéndose por las fronteras?
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18776747,32,27.0,--272179--,2016-02-06T00:23:25+00:00,0,10,"#27 y, termino... no, nunca he pasado droga, por si hay que aclararlo {palm} {grin} Y no sé si los del DAESH son tontos o no, lo que sí sé es que el BND, BKA y Bundesamt für Verfassugsschutz no están subestimando la situación, estamos en alerta terrorista hace meses. Lo que sí sé es que esta noticia de antena 3 es comida para su audiencia y un compendio de manipulación periodistica. Y repito, no es culpa tuya."
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18776743,31,,--504314--,2016-02-06T00:22:23+00:00,0,7,Es algo factible.
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18776693,30,,--323100--,2016-02-06T00:05:42+00:00,2,13,"Noticia racista y xenofoba, son casos aislados, posiblemente el tio ese sea un neonazi judío del copon, o peor aún, un ateo que no cree en Allah!"
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18776672,29,27.0,--272179--,2016-02-06T00:00:59+00:00,0,10,"#27 No es una cuestión de abrir puertas porque sí, es que esto es una crisis humanitaria, que propones? les disparamos en la costa para que no se acerquen y que ya se ocupe Poseidon? Eso se acerca en mucho a las tesis del partido abiertamente xenófobo AfD.

Es errónea porque el titular es erróneo. Precisamente las palabras de este senor pretendían no alarmar a la población y decir que lo tienen bastante controlado, que están atendiendo a todas las alarmas que se dan aunque luego no se confirmen o sean bulos, y aun así no se baja la guardia. 

A3 da a entender otra cosa muy distinta y pone una frase que en boca del protagonista de la noticia que no ha dicho."
inmigracion,https://www.meneame.net/story/jefe-inteligencia-alemana-dice-hay-milicianos-daesh-entre,2559845,18776653,28,23.0,--272179--,2016-02-05T23:57:40+00:00,0,10,"#23 abundando en mi enlace y lo que te digo en #24 Maaßen hizo hincapié en que había ""pruebas concretas"" sobre los planes para posibles ataques, pero sin evidencia concreta de un delito de terrorismo. Hay órdenes internacionales de detención contra algunos de los sospechosos por apoyar a una organización terrorista. El miedo esta ahora ""fuera de lugar"", dijo Maassen. Sin embargo, la situación sigue siendo ""grave"" ya que sigue habiendo ""alto riesgo"" de un ataque terrorista.

De acuerdo con información de la revista de noticias ""Focus"", las autoridades policiales han recibido 253 indicaciones en los gobiernos federales y estatales, de que puede haber terroristas entre los refugiados que llegan a Alemania. Sin embargo, las advertencias en su mayoría no se confirmaron.

Hasta el momento sólo se tenía una sospecha inicial por las investigaciones en 22 casos, informó la revista FOCUS anteriormente, citando la Bundeskriminalamt (BKA). De acuerdo con un análisis confidencial de los servicios secretos no se ha cumplido ninguna de las muchas referencias a la identificación de un terrorista del ISIS. Lo que ha dicho este senor es que basándose en los hechos de París e investigaciones posteriores cuentan con que se puede dar, algo que ya sabíamos, que haya terroristas infiltrados, como ha ocurrido con dos sospechosos en este caso."
